"","SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"1","Abbotsford","4.30390654510979e-21","1"
"2","Airport West","4.37914944084757e-21","1"
"3","Albert Park","4.37019087789646e-21","1"
"4","Alphington - Fairfield","4.30408732267127e-21","1"
"5","Altona","4.48555520576875e-21","1"
"6","Altona Meadows","4.33893129978743e-21","1"
"7","Altona North","4.51424342675939e-21","1"
"8","Ardeer - Albion","4.30444889954952e-21","1"
"9","Armadale","4.30444889954952e-21","1"
"10","Ascot Vale","4.33856695716769e-21","1"
"11","Ashburton (Vic.)","4.44527335131645e-21","1"
"12","Ashwood - Chadstone","4.44527335131645e-21","1"
"13","Aspendale Gardens - Waterways","4.22506402912183e-21","1"
"14","Bacchus Marsh","4.33893129978743e-21","1"
"15","Balwyn","4.56314816981462e-21","1"
"16","Balwyn North","4.56314816981462e-21","1"
"17","Bayswater","4.37000744972387e-21","1"
"18","Bayswater North","4.39797307377041e-21","1"
"19","Beaconsfield - Officer","4.08042164164166e-21","1"
"20","Beaumaris","4.26664128845475e-21","1"
"21","Belgrave - Selby","4.22524164268626e-21","1"
"22","Bentleigh East","4.48555520576875e-21","1"
"23","Bentleigh - McKinnon","4.39834217920987e-21","1"
"24","Berwick - North","4.39815762279239e-21","1"
"25","Berwick - South","4.22470882338414e-21","1"
"26","Blackburn","4.5402506360044e-21","1"
"27","Blackburn South","4.53986994164424e-21","1"
"28","Boronia - The Basin","4.39834217920987e-21","1"
"29","Box Hill","4.44564624688316e-21","1"
"30","Box Hill North","4.48517889222718e-21","1"
"31","Braeside","8.73683879452081e-22","1"
"32","Braybrook","4.37000744972387e-21","1"
"33","Brighton East","4.39834217920987e-21","1"
"34","Brighton (Vic.)","4.46545251582289e-21","1"
"35","Broadmeadows","4.30390654510979e-21","1"
"36","Brunswick","4.46526527110156e-21","1"
"37","Brunswick East","4.30408732267127e-21","1"
"38","Brunswick West","4.39797307377041e-21","1"
"39","Bulleen","5.34313341139065e-21","1"
"40","Bundoora - East","4.48517889222718e-21","1"
"41","Bundoora - North","4.37896554520346e-21","1"
"42","Bundoora - West","4.24149544585536e-21","1"
"43","Bunyip - Garfield","4.26664128845475e-21","1"
"44","Burwood","4.42332530509457e-21","1"
"45","Burwood East","5.30108894214514e-21","1"
"46","Cairnlea","3.96585083010586e-21","1"
"47","Camberwell","4.46526527110156e-21","1"
"48","Campbellfield - Coolaroo","4.37933334386682e-21","1"
"49","Carlton","4.13227323155833e-21","1"
"50","Carlton North - Princes Hill","4.26664128845475e-21","1"
"51","Carnegie","4.44583270586845e-21","1"
"52","Caroline Springs","4.33893129978743e-21","1"
"53","Carrum Downs","4.39834217920987e-21","1"
"54","Carrum - Patterson Lakes","4.33893129978743e-21","1"
"55","Caulfield - North","4.46507803387829e-21","1"
"56","Caulfield - South","4.44564624688316e-21","1"
"57","Chelsea - Bonbeach","4.42332530509457e-21","1"
"58","Chelsea Heights","4.13192547986493e-21","1"
"59","Cheltenham - Highett (East)","4.56295690218201e-21","1"
"60","Cheltenham - Highett (West)","4.51424342675939e-21","1"
"61","Chirnside Park","4.2416738241918e-21","1"
"62","Clarinda - Oakleigh South","4.51367552069607e-21","1"
"63","Clayton","4.42332530509457e-21","1"
"64","Clayton South","4.41811681664931e-21","1"
"65","Coburg","4.56314816981462e-21","1"
"66","Coburg North","4.45311533346685e-21","1"
"67","Collingwood","4.18053199191742e-21","1"
"68","Craigieburn - Mickleham","4.22541926338142e-21","1"
"69","Cranbourne","4.30426810748442e-21","1"
"70","Cranbourne East","4.26646201322896e-21","1"
"71","Cranbourne North","4.08042164164166e-21","1"
"72","Cranbourne South","4.39778853214371e-21","1"
"73","Cranbourne West","4.17982876145843e-21","1"
"74","Croydon","4.56295690218201e-21","1"
"75","Croydon Hills - Warranwood","4.39815762279239e-21","1"
"76","Dandenong","4.39834217920987e-21","1"
"77","Dandenong North","4.5400602850137e-21","1"
"78","Deer Park - Derrimut","4.13227323155833e-21","1"
"79","Delahey","4.22524164268626e-21","1"
"80","Dingley Village","4.41811681664931e-21","1"
"81","Docklands","3.53680410906884e-21","1"
"82","Doncaster","4.60373730987171e-21","1"
"83","Doncaster East","4.56295690218201e-21","1"
"84","Donvale - Park Orchards","4.5144327439435e-21","1"
"85","Doveton","4.45348907753607e-21","1"
"86","Dromana","4.42332530509457e-21","1"
"87","East Melbourne","4.33820264376568e-21","1"
"88","Edithvale - Aspendale","4.42332530509457e-21","1"
"89","Elsternwick","4.39815762279239e-21","1"
"90","Eltham","4.33893129978743e-21","1"
"91","Elwood","4.30444889954952e-21","1"
"92","Emerald - Cockatoo","4.37019087789646e-21","1"
"93","Endeavour Hills","4.39834217920987e-21","1"
"94","Epping","4.42332530509457e-21","1"
"95","Essendon - Aberfeldie","4.44564624688316e-21","1"
"96","Fawkner","4.48555520576875e-21","1"
"97","Ferntree Gully","4.42332530509457e-21","1"
"98","Fitzroy","4.13209935221777e-21","1"
"99","Fitzroy North","4.33893129978743e-21","1"
"100","Flemington","4.30426810748442e-21","1"
"101","Flemington Racecourse","2.173309271101e-20","1"
"102","Flinders","4.33856695716769e-21","1"
"103","Footscray","4.39834217920987e-21","1"
"104","Forest Hill","4.5402506360044e-21","1"
"105","Frankston","4.39815762279239e-21","1"
"106","Frankston North","4.5402506360044e-21","1"
"107","Frankston South","4.46545251582289e-21","1"
"108","Gisborne","4.33893129978743e-21","1"
"109","Gladstone Park - Westmeadows","4.41811681664931e-21","1"
"110","Glen Iris - East","4.48536704522919e-21","1"
"111","Glenroy - Hadfield","4.5402506360044e-21","1"
"112","Glen Waverley - East","4.45348907753607e-21","1"
"113","Glen Waverley - West","4.5402506360044e-21","1"
"114","Greensborough","4.42351086993873e-21","1"
"115","Greenvale - Bulla","4.18035617371013e-21","1"
"116","Hallam","4.33874912482521e-21","1"
"117","Hampton","4.42332530509457e-21","1"
"118","Hampton Park - Lynbrook","4.13244711788688e-21","1"
"119","Hastings - Somers","4.42332530509457e-21","1"
"120","Hawthorn","4.39815762279239e-21","1"
"121","Hawthorn East","4.42351086993873e-21","1"
"122","Healesville - Yarra Glen","4.37000744972387e-21","1"
"123","Heidelberg - Rosanna","4.42332530509457e-21","1"
"124","Heidelberg West","4.42351086993873e-21","1"
"125","Hillside","4.08042164164166e-21","1"
"126","Hoppers Crossing - North","4.26628274519712e-21","1"
"127","Hoppers Crossing - South","4.33686489164958e-21","1"
"128","Hughesdale","4.26574498426277e-21","1"
"129","Hurstbridge","3.96534929528148e-21","1"
"130","Ivanhoe","4.39778853214371e-21","1"
"131","Ivanhoe East - Eaglemont","4.5144327439435e-21","1"
"132","Keilor","4.37933334386682e-21","1"
"133","Keilor Downs","4.37914944084757e-21","1"
"134","Keilor East","4.93356878676093e-21","1"
"135","Kensington","4.30408732267127e-21","1"
"136","Kew","4.56314816981462e-21","1"
"137","Kew East","4.37914944084757e-21","1"
"138","Keysborough","4.39834217920987e-21","1"
"139","Kilsyth","4.39834217920987e-21","1"
"140","Kinglake","4.02274669201054e-21","1"
"141","Kingsbury","4.33874912482521e-21","1"
"142","Kings Park (Vic.)","4.13192547986493e-21","1"
"143","Knoxfield - Scoresby","4.41793135858908e-21","1"
"144","Koo Wee Rup","4.30426810748442e-21","1"
"145","Lalor","4.45330220175719e-21","1"
"146","Langwarrin","4.22541926338142e-21","1"
"147","Laverton","3.90263827860973e-21","1"
"148","Lilydale - Coldstream","4.5144327439435e-21","1"
"149","Lynbrook - Lyndhurst","4.33893129978743e-21","1"
"150","Lysterfield","4.13209935221777e-21","1"
"151","Macedon","4.08024984667617e-21","1"
"152","Malvern East","4.42351086993873e-21","1"
"153","Malvern - Glen Iris","4.39834217920987e-21","1"
"154","Maribyrnong","4.18070781718681e-21","1"
"155","Meadow Heights","4.13227323155833e-21","1"
"156","Melbourne","4.1801803625647e-21","1"
"157","Melbourne Airport","8.09301084825711e-18","1"
"158","Melton","4.26664128845475e-21","1"
"159","Melton South","4.36927381055574e-21","1"
"160","Melton West","4.22524164268626e-21","1"
"161","Mentone","4.44564624688316e-21","1"
"162","Mill Park - North","4.30444889954952e-21","1"
"163","Mill Park - South","4.22524164268626e-21","1"
"164","Mitcham (Vic.)","4.41811681664931e-21","1"
"165","Monbulk - Silvan","4.13227323155833e-21","1"
"166","Montmorency - Briar Hill","4.37019087789646e-21","1"
"167","Montrose","4.37000744972387e-21","1"
"168","Moonee Ponds","4.39834217920987e-21","1"
"169","Moorabbin - Heatherton","4.41774590796334e-21","1"
"170","Mooroolbark","4.37000744972387e-21","1"
"171","Mordialloc - Parkdale","4.42351086993873e-21","1"
"172","Mornington","4.46526527110156e-21","1"
"173","Mount Dandenong - Olinda","4.26664128845475e-21","1"
