Parent child age difference years,Number of parental relationships
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,30995
16,30534
17,32822
18,36215
19,40440
20,43984
21,48364
22,52270
23,57348
24,61818
25,65819
26,68650
27,71115
28,73820
29,76442
30,79166
31,94682
32,97741
33,101050
34,103039
35,105476
36,107299
37,103460
38,100075
39,96143
40,90722
41,78229
42,65988
43,53454
44,42534
45,32352
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
