SA2,APD,APD%,Population size
Abbotsford,0,0,398
Airport West,0,0,690
Albert Park,0,0,1014
Alphington - Fairfield,0,0,865
Altona,0,0,1049
Altona Meadows,0,0,2016
Altona North,0,0,1121
Ardeer - Albion,0,0,617
Armadale,0,0,667
Ascot Vale,0,0,1330
Ashburton (Vic.),0,0,949
Ashwood - Chadstone,0,0,1681
Aspendale Gardens - Waterways,0,0,1170
Bacchus Marsh,0,0,1844
Balwyn,0,0,1755
Balwyn North,0,0,2488
Bayswater,0,0,1073
Bayswater North,0,0,1246
Beaconsfield - Officer,0,0,990
Beaumaris,0,0,1577
Belgrave - Selby,0,0,1156
Bentleigh East,0,0,3021
Bentleigh - McKinnon,0,0,2460
Berwick - North,0,0,2397
Berwick - South,0,0,2929
Blackburn,0,0,2269
Blackburn South,0,0,1150
Boronia - The Basin,0,0,2463
Box Hill,0,0,1718
Box Hill North,0,0,1865
Braeside,NaN,NaN,0
Braybrook,0,0,1444
Brighton East,0,0,1834
Brighton (Vic.),0,0,2189
Broadmeadows,0,0,1013
Brunswick,0,0,1970
Brunswick East,0,0,785
Brunswick West,0,0,1131
Bulleen,0,0,1199
Bundoora - East,0,0,1018
Bundoora - North,0,0,644
Bundoora - West,0,0,635
Bunyip - Garfield,0,0,812
Burwood,0,0,1080
Burwood East,0,0,1047
Cairnlea,0,0,1116
Camberwell,0,0,2326
Campbellfield - Coolaroo,0,0,1520
Carlton,0,0,702
Carlton North - Princes Hill,0,0,762
Carnegie,0,0,1481
Caroline Springs,0,0,3100
Carrum Downs,0,0,1903
Carrum - Patterson Lakes,0,0,1055
Caulfield - North,0,0,1756
Caulfield - South,0,0,1765
Chelsea - Bonbeach,0,0,1081
Chelsea Heights,0,0,596
Cheltenham - Highett (East),0,0,2033
Cheltenham - Highett (West),0,0,1162
Chirnside Park,0,0,957
Clarinda - Oakleigh South,0,0,1308
Clayton,0,0,1537
Clayton South,0,0,1213
Coburg,0,0,2492
Coburg North,0,0,694
Collingwood,0,0,456
Craigieburn - Mickleham,0,0,3954
Cranbourne,0,0,1863
Cranbourne East,0,0,802
Cranbourne North,0,0,1613
Cranbourne South,0,0,651
Cranbourne West,0,0,915
Croydon,0,0,2872
Croydon Hills - Warranwood,0,0,2270
Dandenong,0,0,2400
Dandenong North,0,0,2324
Deer Park - Derrimut,0,0,2253
Delahey,0,0,1004
Dingley Village,0,0,1200
Docklands,0,0,199
Doncaster,0,0,1903
Doncaster East,0,0,3086
Donvale - Park Orchards,0,0,1776
Doveton,0,0,973
Dromana,0,0,734
East Melbourne,0,0,180
Edithvale - Aspendale,0,0,1281
Elsternwick,0,0,1046
Eltham,0,0,2918
Elwood,0,0,988
Emerald - Cockatoo,0,0,1944
Endeavour Hills,0,0,2926
Epping,0,0,3067
Essendon - Aberfeldie,0,0,2652
Fawkner,0,0,1260
Ferntree Gully,0,0,2948
Fitzroy,0,0,629
Fitzroy North,0,0,1006
Flemington,0,0,675
Flemington Racecourse,0,0,6
Flinders,0,0,469
Footscray,0,0,998
Forest Hill,0,0,1106
Frankston,0,0,1974
Frankston North,0,0,1716
Frankston South,0,0,1849
Gisborne,0,0,1286
Gladstone Park - Westmeadows,0,0,1882
Glen Iris - East,0,0,2009
Glenroy - Hadfield,0,0,2688
Glen Waverley - East,0,0,2353
Glen Waverley - West,0,0,2114
Greensborough,0,0,2314
Greenvale - Bulla,0,0,1656
Hallam,0,0,1099
Hampton,0,0,2046
Hampton Park - Lynbrook,0,0,2684
Hastings - Somers,0,0,1853
Hawthorn,0,0,1714
Hawthorn East,0,0,1279
Healesville - Yarra Glen,0,0,1224
Heidelberg - Rosanna,0,0,1386
Heidelberg West,0,0,1236
Hillside,0,0,2098
Hoppers Crossing - North,0,0,2206
Hoppers Crossing - South,0,0,1908
Hughesdale,0,0,762
Hurstbridge,0,0,430
Ivanhoe,0,0,1219
Ivanhoe East - Eaglemont,0,0,908
Keilor,0,0,881
Keilor Downs,0,0,1503
Keilor East,0,0,2492
Kensington,0,0,759
Kew,0,0,2464
Kew East,0,0,778
Keysborough,0,0,2297
Kilsyth,0,0,818
Kinglake,0,0,367
Kingsbury,0,0,1039
Kings Park (Vic.),0,0,1413
Knoxfield - Scoresby,0,0,1456
Koo Wee Rup,0,0,647
Lalor,0,0,1991
Langwarrin,0,0,2593
Laverton,0,0,490
Lilydale - Coldstream,0,0,1924
Lynbrook - Lyndhurst,0,0,1291
Lysterfield,0,0,897
Macedon,0,0,336
Malvern East,0,0,2267
Malvern - Glen Iris,0,0,1915
Maribyrnong,0,0,1029
Meadow Heights,0,0,1695
Melbourne,0,0,844
Melbourne Airport,0,0,6
Melton,0,0,1720
Melton South,0,0,1545
Melton West,0,0,1507
Mentone,0,0,1127
Mill Park - North,0,0,2383
Mill Park - South,0,0,1457
Mitcham (Vic.),0,0,1541
Monbulk - Silvan,0,0,577
Montmorency - Briar Hill,0,0,1648
Montrose,0,0,753
Moonee Ponds,0,0,1362
Moorabbin - Heatherton,0,0,859
Mooroolbark,0,0,2339
Mordialloc - Parkdale,0,0,2022
Mornington,0,0,2016
Mount Dandenong - Olinda,0,0,977
Mount Eliza,0,0,1896
Mount Evelyn,0,0,1071
Mount Martha,0,0,1828
Mount Waverley - North,0,0,1670
Mount Waverley - South,0,0,1902
Mulgrave,0,0,1945
Murrumbeena,0,0,901
Narre Warren,0,0,3003
Narre Warren North,0,0,854
Narre Warren South,0,0,3603
Newport,0,0,1683
Niddrie - Essendon West,0,0,703
Noble Park,0,0,2682
Noble Park North,0,0,764
Northcote,0,0,2383
North Melbourne,0,0,1065
Nunawading,0,0,1141
Oakleigh - Huntingdale,0,0,2152
Ormond - Glen Huntly,0,0,1223
Pakenham - North,0,0,1258
Pakenham - South,0,0,2167
Panton Hill - St Andrews,0,0,554
Parkville,0,0,319
Pascoe Vale,0,0,2047
Pascoe Vale South,0,0,1142
Pearcedale - Tooradin,0,0,792
Plenty - Yarrambat,0,0,1139
Point Cook,0,0,3816
Point Nepean,0,0,1223
Port Melbourne,0,0,1022
Port Melbourne Industrial,NaN,NaN,0
Prahran - Windsor,0,0,1152
Preston,0,0,2998
Research - North Warrandyte,0,0,812
Reservoir - East,0,0,2332
Reservoir - West,0,0,2318
Richmond (Vic.),0,0,1962
Riddells Creek,0,0,421
Ringwood,0,0,1517
Ringwood East,0,0,1908
Ringwood North,0,0,1112
Rockbank - Mount Cottrell,0,0,165
Romsey,0,0,842
Rosebud - McCrae,0,0,1435
Rowville - Central,0,0,1929
Rowville - North,0,0,1061
Rowville - South,0,0,1450
Roxburgh Park - Somerton,0,0,2397
Sandringham - Black Rock,0,0,1653
Seabrook,0,0,599
Seaford (Vic.),0,0,1422
Seddon - Kingsville,0,0,771
Skye - Sandhurst,0,0,1231
Somerville,0,0,1884
Southbank,0,0,559
South Melbourne,0,0,683
South Morang,0,0,4696
South Yarra - East,0,0,778
South Yarra - West,0,0,295
Springvale,0,0,2013
Springvale South,0,0,1300
St Albans - North,0,0,1864
St Albans - South,0,0,1661
St Kilda,0,0,1020
St Kilda East,0,0,1026
Strathmore,0,0,1137
Sunbury,0,0,1457
Sunbury - South,0,0,2600
Sunshine,0,0,832
Sunshine North,0,0,1104
Sunshine West,0,0,1625
Surrey Hills (East) - Mont Albert,0,0,1078
Surrey Hills (West) - Canterbury,0,0,1925
Sydenham,0,0,1331
Tarneit,0,0,2333
Taylors Hill,0,0,1988
Taylors Lakes,0,0,2440
Templestowe,0,0,1965
Templestowe Lower,0,0,1411
Thomastown,0,0,2085
Thornbury,0,0,1602
Toorak,0,0,966
Truganina,0,0,1004
Tullamarine,0,0,576
Upwey - Tecoma,0,0,1103
Vermont,0,0,1115
Vermont South,0,0,1291
Viewbank - Yallambie,0,0,1897
Wallan,0,0,1315
Wandin - Seville,0,0,831
Wantirna,0,0,1481
Wantirna South,0,0,2059
Warrandyte - Wonga Park,0,0,1292
Watsonia,0,0,951
Wattle Glen - Diamond Creek,0,0,1730
Werribee,0,0,3048
Werribee - South,0,0,1047
West Footscray - Tottenham,0,0,937
Wheelers Hill,0,0,2181
Whittlesea,0,0,827
Williamstown,0,0,1672
Wyndham Vale,0,0,1747
Yarra - North,0,0,779
Yarra Valley,0,0,1494
Yarraville,0,0,1358
