"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","2.89367862313185e-09","1"
"Airport West","1.92133007509193e-05","1"
"Albert Park","0.0390832826488996","1"
"Alphington - Fairfield","0.163826769139459","0"
"Altona","0.49535908340633","0"
"Altona Meadows","0.872963562208288","0"
"Altona North","0.86537253807506","0"
"Ardeer - Albion","8.02420248381213e-07","1"
"Armadale","2.1551043823954e-05","1"
"Ascot Vale","0.550196816715178","0"
"Ashburton (Vic.)","0.142269391424313","0"
"Ashwood - Chadstone","0.484738394174345","0"
"Aspendale Gardens - Waterways","0.080947033207116","0"
"Bacchus Marsh","0.266354459134144","0"
"Balwyn","0.595361098128885","0"
"Balwyn North","0.965928022954359","0"
"Bayswater","0.193070676897562","0"
"Bayswater North","0.12569159738177","0"
"Beaconsfield - Officer","1.34024955105509e-05","1"
"Beaumaris","0.858237859648849","0"
"Belgrave - Selby","0.252622540342852","0"
"Bentleigh East","0.936377040616951","0"
"Bentleigh - McKinnon","0.868057383889212","0"
"Berwick - North","0.809575146050553","0"
"Berwick - South","0.504232357727023","0"
"Blackburn","0.853464949962003","0"
"Blackburn South","0.369782758513798","0"
"Boronia - The Basin","0.77323004966861","0"
"Box Hill","0.790743311830338","0"
"Box Hill North","0.769959522857469","0"
"Braeside","8.00067371737688e-13","1"
"Braybrook","0.0168694278795777","1"
"Brighton East","0.443401014548015","0"
"Brighton (Vic.)","0.724256666109766","0"
"Broadmeadows","0.00284273276508962","1"
"Brunswick","0.532673343141051","0"
"Brunswick East","5.37659663078266e-05","1"
"Brunswick West","0.113088788314923","0"
"Bulleen","0.792308393249465","0"
"Bundoora - East","0.201429017413034","0"
"Bundoora - North","1.68374300665865e-08","1"
"Bundoora - West","0.0332502746795229","1"
"Bunyip - Garfield","0.0737394917746499","0"
"Burwood","0.0447942463909785","1"
"Burwood East","0.334451783081337","0"
"Cairnlea","1.25681547295393e-07","1"
"Camberwell","0.46719095611021","0"
"Campbellfield - Coolaroo","0.423083961210022","0"
"Carlton","2.74028673820916e-11","1"
"Carlton North - Princes Hill","6.36548156284497e-08","1"
"Carnegie","0.49365125500114","0"
"Caroline Springs","0.608073302542617","0"
"Carrum Downs","0.204108242867581","0"
"Carrum - Patterson Lakes","0.226573075174231","0"
"Caulfield - North","0.832544838371277","0"
"Caulfield - South","0.708801740291802","0"
"Chelsea - Bonbeach","0.155283174765948","0"
"Chelsea Heights","0.0168668229010233","1"
"Cheltenham - Highett (East)","0.937672729833052","0"
"Cheltenham - Highett (West)","0.0580043503744289","0"
"Chirnside Park","0.458496001492599","0"
"Clarinda - Oakleigh South","0.285131156431244","0"
"Clayton","0.00172362221821935","1"
"Clayton South","2.33374870028485e-05","1"
"Coburg","0.688944989181773","0"
"Coburg North","0.165776703820927","0"
"Collingwood","1.04193254858365e-10","1"
"Craigieburn - Mickleham","0.336219115499067","0"
"Cranbourne","0.211408312293356","0"
"Cranbourne East","1.5872279019812e-05","1"
"Cranbourne North","0.000555437447705112","1"
"Cranbourne South","3.06943261199882e-06","1"
"Cranbourne West","6.63812593229883e-05","1"
"Croydon","0.938179255584465","0"
"Croydon Hills - Warranwood","0.410962119557981","0"
"Dandenong","0.889703175807277","0"
"Dandenong North","0.924074569717755","0"
"Deer Park - Derrimut","0.000351001671066305","1"
"Delahey","0.000452984917744043","1"
"Dingley Village","0.733455200954726","0"
"Docklands","6.82600688822104e-11","1"
"Doncaster","0.933153997802305","0"
"Doncaster East","0.987688514202515","0"
"Donvale - Park Orchards","0.539405688281098","0"
"Doveton","0.000901823744074786","1"
"Dromana","0.0945310304441943","0"
"East Melbourne","6.5153486703782e-11","1"
"Edithvale - Aspendale","0.0988155937686366","0"
"Elsternwick","0.108077389555733","0"
"Eltham","0.678426706758261","0"
"Elwood","5.86085084302594e-08","1"
"Emerald - Cockatoo","0.85344127560062","0"
"Endeavour Hills","0.814306702192991","0"
"Epping","0.881304021847111","0"
"Essendon - Aberfeldie","0.781070352305903","0"
"Fawkner","0.315205578154763","0"
"Ferntree Gully","0.851058178051674","0"
"Fitzroy","1.00927418806337e-10","1"
"Fitzroy North","5.54825670506156e-06","1"
"Flemington","5.75162052237833e-08","1"
"Flemington Racecourse","4.16568449789553e-12","1"
"Flinders","0.00214974001159691","1"
"Footscray","4.83390489462885e-07","1"
"Forest Hill","0.717327091281753","0"
"Frankston","0.820886845584881","0"
"Frankston North","0.904337047179141","0"
"Frankston South","0.801967048968379","0"
"Gisborne","0.328401584746803","0"
"Gladstone Park - Westmeadows","0.680366384624743","0"
"Glen Iris - East","0.591383796853067","0"
"Glenroy - Hadfield","0.991620603773079","0"
"Glen Waverley - East","0.773456463273013","0"
"Glen Waverley - West","0.845500930006855","0"
"Greensborough","0.701502550552183","0"
"Greenvale - Bulla","0.000816746677893979","1"
"Hallam","0.000100089352411876","1"
"Hampton","0.253847236461595","0"
"Hampton Park - Lynbrook","0.399808754551068","0"
"Hastings - Somers","0.250427805189578","0"
"Hawthorn","0.169129498528871","0"
"Hawthorn East","0.100566519646574","0"
"Healesville - Yarra Glen","0.237049050930767","0"
"Heidelberg - Rosanna","0.694138971321293","0"
