SA2,APD,APD%,Population size
Abbotsford,0.00904605263157895,0.904605263157895,2432
Airport West,0.0153883144986776,1.53883144986776,4159
Albert Park,0.0160207327129226,1.60207327129226,8489
Alphington - Fairfield,0.0226839092643629,2.26839092643629,4717
Altona,0.018780005648122,1.8780005648122,7082
Altona Meadows,0.0246072307401098,2.46072307401098,10566
Altona North,0.0258826839217893,2.58826839217893,7109
Ardeer - Albion,0.0102459016393443,1.02459016393443,3904
Armadale,0.00857365549493375,0.857365549493375,5132
Ascot Vale,0.0214643139320516,2.14643139320516,7594
Ashburton (Vic.),0.0271976687712482,2.71976687712482,4118
Ashwood - Chadstone,0.0179287070238346,1.79287070238346,9482
Aspendale Gardens - Waterways,0.0259161773638388,2.59161773638388,4939
Bacchus Marsh,0.017175572519084,1.7175572519084,9432
Balwyn,0.0252764612954186,2.52764612954186,8862
Balwyn North,0.0326512455516014,3.26512455516014,11240
Bayswater,0.0168381665107577,1.68381665107577,6414
Bayswater North,0.0157092986353539,1.57092986353539,6302
Beaconsfield - Officer,0.0127226463104326,1.27226463104326,4323
Beaumaris,0.0265105638541246,2.65105638541246,7431
Belgrave - Selby,0.0202495028023865,2.02495028023865,5531
Bentleigh East,0.0247354586506706,2.47354586506706,14837
Bentleigh - McKinnon,0.0239226185335521,2.39226185335521,11579
Berwick - North,0.0212645992750705,2.12645992750705,12415
Berwick - South,0.0197548782454443,1.97548782454443,12402
Blackburn,0.0240760483297797,2.40760483297797,11256
Blackburn South,0.0259337791551134,2.59337791551134,6131
Boronia - The Basin,0.0173005533375359,1.73005533375359,14277
Box Hill,0.0213282118669766,2.13282118669767,9893
Box Hill North,0.022622538751571,2.2622538751571,9548
Braeside,NaN,NaN,0
Braybrook,0.0110039564787339,1.10039564787339,8088
Brighton East,0.0221485254056615,2.21485254056615,8443
Brighton (Vic.),0.0254830815964897,2.54830815964897,11851
Broadmeadows,0.0116445718380509,1.16445718380509,5582
Brunswick,0.0155564112437428,1.55564112437428,12985
Brunswick East,0.0107723577235772,1.07723577235772,4920
Brunswick West,0.0144603654528724,1.44603654528724,7607
Bulleen,0.0339058999253174,3.39058999253174,6695
Bundoora - East,0.0207142857142857,2.07142857142857,5600
Bundoora - North,0.011723700887199,1.1723700887199,3156
Bundoora - West,0.0224384968910516,2.24384968910516,3699
Bunyip - Garfield,0.0213428190306803,2.13428190306803,4498
Burwood,0.0133098139833226,1.33098139833226,6236
Burwood East,0.0234697113859816,2.34697113859816,6306
Cairnlea,0.00691823899371069,0.691823899371069,4770
Camberwell,0.0225993747208575,2.25993747208575,11195
Campbellfield - Coolaroo,0.0156490507952796,1.56490507952796,7796
Carlton,0.00143135979180221,0.143135979180221,7685
Carlton North - Princes Hill,0.00680131904369332,0.680131904369332,4852
Carnegie,0.012792511700468,1.2792511700468,9615
Caroline Springs,0.0167597765363128,1.67597765363128,14320
Carrum Downs,0.0121432908318154,1.21432908318154,9882
Carrum - Patterson Lakes,0.0174075225365247,1.74075225365247,6434
Caulfield - North,0.0267691737680622,2.67691737680622,10796
Caulfield - South,0.0259598603839442,2.59598603839442,9168
Chelsea - Bonbeach,0.0144594594594595,1.44594594594595,7400
Chelsea Heights,0.026634382566586,2.6634382566586,2891
Cheltenham - Highett (East),0.0209544988026001,2.09544988026001,11692
Cheltenham - Highett (West),0.0169521455059156,1.69521455059156,5663
Chirnside Park,0.0252856340138603,2.52856340138603,5339
Clarinda - Oakleigh South,0.0171546879621414,1.71546879621414,6762
Clayton,0.00810654313839027,0.810654313839027,10362
Clayton South,0.011231101511879,1.1231101511879,6945
Coburg,0.0193134559808275,1.93134559808275,14187
Coburg North,0.0303783485225076,3.03783485225076,3621
Collingwood,0.00561797752808989,0.561797752808989,3204
Craigieburn - Mickleham,0.0119898919296736,1.19898919296736,18599
Cranbourne,0.0130929600161144,1.30929600161144,9929
Cranbourne East,0.011250540891389,1.1250540891389,4622
Cranbourne North,0.00718517584772469,0.718517584772469,7933
Cranbourne South,0.0135734795092665,1.35734795092665,3831
Cranbourne West,0.0121145374449339,1.21145374449339,4540
Croydon,0.0206995003568879,2.06995003568879,16812
Croydon Hills - Warranwood,0.0260400773064795,2.60400773064795,9831
Dandenong,0.0128715019162629,1.28715019162629,13829
Dandenong North,0.0225457570715474,2.25457570715474,12020
Deer Park - Derrimut,0.00451559934318555,0.451559934318555,12180
Delahey,0.0135348522445297,1.35348522445297,4433
Dingley Village,0.0293027955540586,2.93027955540586,5938
Docklands,0.00421052631578947,0.421052631578947,3325
Doncaster,0.0355196061192193,3.55196061192193,11374
Doncaster East,0.03348895113601,3.348895113601,16065
Donvale - Park Orchards,0.0316042597045689,3.16042597045689,8733
Doveton,0.0116585182399398,1.16585182399398,5318
Dromana,0.0210019267822736,2.10019267822736,5190
East Melbourne,0.00569597721609114,0.569597721609114,2809
Edithvale - Aspendale,0.0197329376854599,1.97329376854599,6740
Elsternwick,0.0209161624891962,2.09161624891962,5785
Eltham,0.0189651135565441,1.89651135565441,12813
Elwood,0.00549987778049377,0.549987778049377,8182
Emerald - Cockatoo,0.0270439594862692,2.70439594862692,9577
Endeavour Hills,0.0189047785141263,1.89047785141263,14335
Epping,0.0137159597842733,1.37159597842733,15019
Essendon - Aberfeldie,0.0207708622833321,2.07708622833321,13673
Fawkner,0.0399646069901195,3.99646069901195,6781
Ferntree Gully,0.0181575772966796,1.81575772966796,15751
Fitzroy,0.0027185278126307,0.27185278126307,4782
Fitzroy North,0.00646585712032802,0.646585712032802,6341
Flemington,0.00585149313962873,0.585149313962873,4956
Flemington Racecourse,0.156862745098039,15.6862745098039,51
Flinders,0.0268186389540731,2.68186389540731,2983
Footscray,0.00907388736857266,0.907388736857266,6943
Forest Hill,0.0283456450781653,2.83456450781653,5821
Frankston,0.0197645441264931,1.97645441264931,11637
Frankston North,0.0236628532316417,2.36628532316417,10227
Frankston South,0.0200140098068648,2.00140098068648,9993
Gisborne,0.0229328165374677,2.29328165374677,6192
Gladstone Park - Westmeadows,0.0188776562822364,1.88776562822364,9694
Glen Iris - East,0.0247897299690128,2.47897299690128,9036
Glenroy - Hadfield,0.0315365837566801,3.15365837566801,15157
Glen Waverley - East,0.024886141834743,2.4886141834743,12296
Glen Waverley - West,0.0237064910630292,2.37064910630292,10630
Greensborough,0.0205620287868403,2.05620287868403,11672
Greenvale - Bulla,0.00838448869591256,0.838448869591256,6679
Hallam,0.00887468938587149,0.887468938587149,5634
Hampton,0.0189887152777778,1.89887152777778,9216
Hampton Park - Lynbrook,0.0131921952760882,1.31921952760882,12659
Hastings - Somers,0.0161020104244229,1.61020104244229,10744
Hawthorn,0.0141049752094375,1.41049752094375,11698
Hawthorn East,0.0231146694214876,2.31146694214876,7744
Healesville - Yarra Glen,0.0207296849087894,2.07296849087894,7236
Heidelberg - Rosanna,0.0202608585538812,2.02608585538812,7897
Heidelberg West,0.0254405912450256,2.54405912450256,7036
Hillside,0.0117561507696037,1.17561507696037,8251
Hoppers Crossing - North,0.0180188954904062,1.80188954904062,10267
Hoppers Crossing - South,0.0194773888728184,1.94773888728184,10371
Hughesdale,0.0189903846153846,1.89903846153846,4160
Hurstbridge,0.0172503920543649,1.72503920543649,1913
Ivanhoe,0.017510347023241,1.7510347023241,6282
Ivanhoe East - Eaglemont,0.0320055261340087,3.20055261340087,4343
Keilor,0.0220826580226904,2.20826580226904,4936
Keilor Downs,0.0108072916666667,1.08072916666667,7680
Keilor East,0.0263828614727561,2.63828614727561,14517
Kensington,0.0112724167378309,1.12724167378309,5855
Kew,0.0246336139694418,2.46336139694418,12828
Kew East,0.0201229737283399,2.01229737283399,3578
Keysborough,0.0174672489082969,1.74672489082969,11450
Kilsyth,0.0140874684608915,1.40874684608915,4756
Kinglake,0.0154173312068049,1.54173312068049,1881
Kingsbury,0.00749680014627903,0.749680014627903,5469
Kings Park (Vic.),0.0138545953360768,1.38545953360768,7290
Knoxfield - Scoresby,0.0190159574468085,1.90159574468085,7520
Koo Wee Rup,0.0143805309734513,1.43805309734513,3616
Lalor,0.00969025783007441,0.969025783007441,11558
Langwarrin,0.0270674325281297,2.70674325281297,12709
Laverton,0.00732984293193717,0.732984293193717,2865
Lilydale - Coldstream,0.0167785234899329,1.67785234899329,10132
Lynbrook - Lyndhurst,0.0096969696969697,0.96969696969697,6600
Lysterfield,0.0107862617087709,1.07862617087709,3523
Macedon,0.0251091703056769,2.51091703056769,1832
Malvern East,0.0259468872442316,2.59468872442316,11485
Malvern - Glen Iris,0.0187262529401122,1.87262529401122,11054
Maribyrnong,0.00692918708805138,0.692918708805138,5917
Meadow Heights,0.013588802826471,1.3588802826471,7359
Melbourne,0.00230092858903772,0.230092858903772,12169
Melbourne Airport,0.323529411764706,32.3529411764706,34
Melton,0.0187092705486651,1.87092705486651,9514
Melton South,0.0234105763517528,2.34105763517528,8415
Melton West,0.013983220135837,1.3983220135837,7509
Mentone,0.0119438638399522,1.19438638399522,6698
Mill Park - North,0.0172498284818191,1.72498284818191,10203
Mill Park - South,0.012987012987013,1.2987012987013,6853
Mitcham (Vic.),0.0203612101691016,2.03612101691016,8693
Monbulk - Silvan,0.0171875,1.71875,3200
Montmorency - Briar Hill,0.0161166538756715,1.61166538756715,9121
Montrose,0.0144571740316421,1.44571740316421,3666
Moonee Ponds,0.0186136071887035,1.86136071887035,7790
Moorabbin - Heatherton,0.0207185364778488,2.07185364778488,4537
Mooroolbark,0.0257076084133991,2.57076084133991,11553
Mordialloc - Parkdale,0.0156608097784568,1.56608097784568,10472
Mornington,0.0189429373246024,1.89429373246024,12828
Mount Dandenong - Olinda,0.0222423146473779,2.22423146473779,5530
Mount Eliza,0.0269602798929821,2.69602798929821,9718
Mount Evelyn,0.015420200462606,1.5420200462606,5188
Mount Martha,0.0200925731117189,2.00925731117189,9506
Mount Waverley - North,0.0242222222222222,2.42222222222222,9000
Mount Waverley - South,0.0255932535791332,2.55932535791332,10198
Mulgrave,0.0246821241585639,2.46821241585639,10696
Murrumbeena,0.0119308013521575,1.19308013521575,5029
Narre Warren,0.0136496819838491,1.36496819838491,13993
Narre Warren North,0.0181333333333333,1.81333333333333,3750
Narre Warren South,0.0152153866420761,1.52153866420761,15182
Newport,0.0134302069572875,1.34302069572875,9084
Niddrie - Essendon West,0.018232044198895,1.8232044198895,3620
Noble Park,0.00732971060280551,0.732971060280551,15826
Noble Park North,0.00709387562071412,0.709387562071412,4229
Northcote,0.0143013441700531,1.43013441700531,12796
North Melbourne,0.00824381713714714,0.824381713714714,8006
Nunawading,0.0122983548953841,1.22983548953841,6261
Oakleigh - Huntingdale,0.0147854004731328,1.47854004731328,11836
Ormond - Glen Huntly,0.0175390517950123,1.75390517950123,7298
Pakenham - North,0.0160358277954348,1.60358277954348,6922
Pakenham - South,0.0157769060208085,1.57769060208085,11726
Panton Hill - St Andrews,0.0312278211497516,3.12278211497516,2818
Parkville,0.0200984413453651,2.00984413453651,2438
Pascoe Vale,0.0238800914556694,2.38800914556694,11809
Pascoe Vale South,0.02854996243426,2.854996243426,5324
Pearcedale - Tooradin,0.0172944799810471,1.72944799810471,4221
Plenty - Yarrambat,0.0110046871815773,1.10046871815773,4907
Point Cook,0.0174304952215465,1.74304952215465,18416
Point Nepean,0.0230146975048422,2.30146975048422,8777
Port Melbourne,0.0101993509503941,1.01993509503941,8628
Port Melbourne Industrial,1,100,7
Prahran - Windsor,0.00827044350253282,0.827044350253282,9673
Preston,0.0207168894289186,2.07168894289186,16460
Research - North Warrandyte,0.024764468371467,2.4764468371467,3715
Reservoir - East,0.00764184269338909,0.764184269338908,13871
Reservoir - West,0.0214296531879449,2.14296531879449,13206
Richmond (Vic.),0.00967144522943961,0.96714452294396,14579
Riddells Creek,0.0219626168224299,2.19626168224299,2140
Ringwood,0.0183020948180816,1.83020948180816,9070
Ringwood East,0.0205185599701548,2.05185599701548,10722
Ringwood North,0.0207156308851224,2.07156308851224,5310
Rockbank - Mount Cottrell,0.0136054421768707,1.36054421768707,882
Romsey,0.0239533430535305,2.39533430535305,4801
Rosebud - McCrae,0.0166772410042599,1.66772410042599,11033
Rowville - Central,0.0202973802218551,2.02973802218551,8474
Rowville - North,0.0135348522445297,1.35348522445297,4433
Rowville - South,0.0228731281882508,2.28731281882508,6077
Roxburgh Park - Somerton,0.0112462938349862,1.12462938349862,9781
Sandringham - Black Rock,0.0229885057471264,2.29885057471264,8526
Seabrook,0.0157624633431085,1.57624633431085,2728
Seaford (Vic.),0.0125241944665832,1.25241944665832,8783
Seddon - Kingsville,0.00897328881469115,0.897328881469115,4792
Skye - Sandhurst,0.0220330495743615,2.20330495743615,5991
Somerville,0.0240951606344042,2.40951606344042,9836
Southbank,0.00536309610088419,0.536309610088419,6899
South Melbourne,0.00808435852372584,0.808435852372584,5690
South Morang,0.0164626624916975,1.64626624916975,21078
South Yarra - East,0.0125557380896503,1.25557380896503,8522
South Yarra - West,0.00904704463208685,0.904704463208685,3316
Springvale,0.00688633193863319,0.688633193863319,11472
Springvale South,0.0106210355509662,1.06210355509662,6779
St Albans - North,0.0119206561129125,1.19206561129125,10486
St Albans - South,0.0152498008421532,1.52498008421532,8787
St Kilda,0.00710940113750418,0.710940113750418,11956
St Kilda East,0.00920663787224369,0.920663787224369,8798
Strathmore,0.0285541926402574,2.85541926402574,4973
Sunbury,0.0179778512872142,1.79778512872142,6953
Sunbury - South,0.0150671713797966,1.50671713797966,13473
Sunshine,0.0257101389176861,2.57101389176861,4823
Sunshine North,0.0105337078651685,1.05337078651685,5696
Sunshine West,0.0207164436771688,2.07164436771688,9268
Surrey Hills (East) - Mont Albert,0.0161579892280072,1.61579892280072,5570
Surrey Hills (West) - Canterbury,0.0283767176851748,2.83767176851748,8951
Sydenham,0.00326743996079072,0.326743996079072,6121
Tarneit,0.0177263648468708,1.77263648468708,12016
Taylors Hill,0.00883207437536316,0.883207437536316,8605
Taylors Lakes,0.0116056110606519,1.16056110606519,9909
Templestowe,0.0330775611779345,3.30775611779345,9644
Templestowe Lower,0.0280290482864059,2.80290482864059,7849
Thomastown,0.0128809563899646,1.28809563899646,11878
Thornbury,0.014642463143115,1.4642463143115,9971
Toorak,0.021290751829674,2.1290751829674,7515
Truganina,0.00731579864135168,0.731579864135168,5741
Tullamarine,0.00642226384800642,0.642226384800642,3737
Upwey - Tecoma,0.0118959107806691,1.18959107806691,5380
Vermont,0.0243562978427279,2.43562978427279,5748
Vermont South,0.0312915129151292,3.12915129151292,6775
Viewbank - Yallambie,0.0239907505540033,2.39907505540033,10379
Wallan,0.0180379746835443,1.80379746835443,6320
Wandin - Seville,0.0180984555984556,1.80984555984556,4144
Wantirna,0.0231400845981587,2.31400845981587,8038
Wantirna South,0.0256867995636219,2.56867995636219,10083
Warrandyte - Wonga Park,0.0292089985486212,2.92089985486212,5512
Watsonia,0.0223162754905733,2.23162754905733,5198
Wattle Glen - Diamond Creek,0.0119210742669224,1.19210742669224,7298
Werribee,0.0166899352709735,1.66899352709735,15758
Werribee - South,0.0257591265779597,2.57591265779597,5862
West Footscray - Tottenham,0.018029056537721,1.8029056537721,5713
Wheelers Hill,0.0364709968739146,3.64709968739146,11516
Whittlesea,0.0192592592592593,1.92592592592593,4050
Williamstown,0.0204778156996587,2.04778156996587,8204
Wyndham Vale,0.021021021021021,2.1021021021021,9324
Yarra - North,0.0115376081650765,1.15376081650765,4507
Yarra Valley,0.0227113088269726,2.27113088269726,8542
Yarraville,0.0178101091182742,1.78101091182742,7973
