"","V1","V2","V3","V4","V5"
"1",0,4108,0,4108,0
"2",0,6669,0,6669,0
"3",0,13030,0,13030,0
"4",0,7865,0,7865,0
"5",0,11331,0,11331,0
"6",0,17927,0,17927,0
"7",0,11828,0,11828,0
"8",0,6553,0,6553,0
"9",0,7976,0,7976,0
"10",0,12715,0,12715,0
"11",0,7182,0,7182,0
"12",0,15310,0,15310,0
"13",0,8489,0,8489,0
"14",0,16321,0,16321,0
"15",0,14914,0,14914,0
"16",0,19385,0,19385,0
"17",0,10619,0,10619,0
"18",0,10969,0,10969,0
"19",0,7676,0,7676,0
"20",0,12493,0,12493,0
"21",0,9680,0,9680,0
"22",0,25042,0,25042,0
"23",0,20118,0,20118,0
"24",0,20840,0,20840,0
"25",0,22477,0,22477,0
"26",0,18729,0,18729,0
"27",0,10017,0,10017,0
"28",0,23731,0,23731,0
"29",0,15951,0,15951,0
"30",0,15863,0,15863,0
"31",0,3,0,3,0
"32",0,14212,0,14212,0
"33",0,14501,0,14501,0
"34",0,19591,0,19591,0
"35",0,10336,0,10336,0
"36",0,21073,0,21073,0
"37",0,8001,0,8001,0
"38",0,12395,0,12395,0
"39",0,10651,0,10651,0
"40",0,8978,0,8978,0
"41",0,5123,0,5123,0
"42",0,5745,0,5745,0
"43",0,7750,0,7750,0
"44",0,9815,0,9815,0
"45",0,9780,0,9780,0
"46",0,8537,0,8537,0
"47",0,18803,0,18803,0
"48",0,14781,0,14781,0
"49",0,11668,0,11668,0
"50",0,7852,0,7852,0
"51",0,15185,0,15185,0
"52",0,25182,0,25182,0
"53",0,17568,0,17568,0
"54",0,10525,0,10525,0
"55",0,18352,0,18352,0
"56",0,15337,0,15337,0
"57",0,11867,0,11867,0
"58",0,5040,0,5040,0
"59",0,19218,0,19218,0
"60",0,9576,0,9576,0
"61",0,8769,0,8769,0
"62",0,11060,0,11060,0
"63",0,15215,0,15215,0
"64",0,11014,0,11014,0
"65",0,23621,0,23621,0
"66",0,6060,0,6060,0
"67",0,5541,0,5541,0
"68",0,33254,0,33254,0
"69",0,17723,0,17723,0
"70",0,7687,0,7687,0
"71",0,13898,0,13898,0
"72",0,6312,0,6312,0
"73",0,8429,0,8429,0
"74",0,28068,0,28068,0
"75",0,17411,0,17411,0
"76",0,23818,0,23818,0
"77",0,20836,0,20836,0
"78",0,20731,0,20731,0
"79",0,7982,0,7982,0
"80",0,9923,0,9923,0
"81",0,4715,0,4715,0
"82",0,17857,0,17857,0
"83",0,26230,0,26230,0
"84",0,14790,0,14790,0
"85",0,9503,0,9503,0
"86",0,8177,0,8177,0
"87",0,4059,0,4059,0
"88",0,11385,0,11385,0
"89",0,9759,0,9759,0
"90",0,22225,0,22225,0
"91",0,13076,0,13076,0
"92",0,16526,0,16526,0
"93",0,24973,0,24973,0
"94",0,25730,0,25730,0
"95",0,23230,0,23230,0
"96",0,11731,0,11731,0
"97",0,26876,0,26876,0
"98",0,8081,0,8081,0
"99",0,10660,0,10660,0
"100",0,8260,0,8260,0
"101",0,51,0,51,0
"102",0,4678,0,4678,0
"103",0,11141,0,11141,0
"104",0,9578,0,9578,0
"105",0,19885,0,19885,0
"106",0,17884,0,17884,0
"107",0,16648,0,16648,0
"108",0,10640,0,10640,0
"109",0,16467,0,16467,0
"110",0,15426,0,15426,0
"111",0,25723,0,25723,0
"112",0,19821,0,19821,0
"113",0,17381,0,17381,0
"114",0,19421,0,19421,0
"115",0,11794,0,11794,0
"116",0,9616,0,9616,0
"117",0,15936,0,15936,0
"118",0,22997,0,22997,0
"119",0,18117,0,18117,0
"120",0,18676,0,18676,0
"121",0,12597,0,12597,0
"122",0,12032,0,12032,0
"123",0,12763,0,12763,0
"124",0,12516,0,12516,0
"125",0,15067,0,15067,0
"126",0,18296,0,18296,0
"127",0,17682,0,17682,0
"128",0,6715,0,6715,0
"129",0,3439,0,3439,0
"130",0,10552,0,10552,0
"131",0,7390,0,7390,0
"132",0,8014,0,8014,0
"133",0,12947,0,12947,0
"134",0,23001,0,23001,0
"135",0,9217,0,9217,0
"136",0,21591,0,21591,0
"137",0,6061,0,6061,0
"138",0,19304,0,19304,0
"139",0,7885,0,7885,0
"140",0,3286,0,3286,0
"141",0,8648,0,8648,0
"142",0,12757,0,12757,0
"143",0,12652,0,12652,0
"144",0,6173,0,6173,0
"145",0,19102,0,19102,0
"146",0,22089,0,22089,0
"147",0,4866,0,4866,0
"148",0,17168,0,17168,0
"149",0,11197,0,11197,0
"150",0,6349,0,6349,0
"151",0,3074,0,3074,0
"152",0,19080,0,19080,0
"153",0,17998,0,17998,0
"154",0,9474,0,9474,0
"155",0,14366,0,14366,0
"156",0,16616,0,16616,0
"157",0,41,0,41,0
"158",0,16754,0,16754,0
"159",0,14725,0,14725,0
"160",0,13438,0,13438,0
"161",0,10797,0,10797,0
"162",0,17777,0,17777,0
"163",0,11809,0,11809,0
"164",0,14214,0,14214,0
"165",0,5284,0,5284,0
"166",0,14922,0,14922,0
"167",0,6230,0,6230,0
"168",0,12725,0,12725,0
"169",0,7524,0,7524,0
"170",0,20007,0,20007,0
"171",0,17664,0,17664,0
"172",0,20882,0,20882,0
"173",0,9184,0,9184,0
"174",0,16041,0,16041,0
"175",0,9039,0,9039,0
"176",0,15787,0,15787,0
"177",0,14547,0,14547,0
"178",0,16538,0,16538,0
"179",0,17173,0,17173,0
"180",0,8261,0,8261,0
"181",0,24818,0,24818,0
"182",0,6563,0,6563,0
"183",0,27964,0,27964,0
