"","start_error%","end_error%"
"Brunswick",3.27433208370901,1.30024201584967
"Brunswick East",2.88713910761155,0.799900012498438
"Brunswick West",2.36385639370714,1.30697862041146
"Coburg",2.61208246898946,1.72304305490877
"Pascoe Vale South",3.07775965198477,2.2620989668298
"Alphington - Fairfield",2.73363000635728,1.53846153846154
"Northcote",3.35077572753144,1.33113008353989
"Thornbury",1.93445046821094,0.708477082306555
"Ascot Vale",3.48407392843099,2.13920566260322
"Essendon - Aberfeldie",2.42789496340938,1.6616444253121
"Flemington",1.79176755447942,0.677966101694915
"Moonee Ponds",2.66404715127701,1.87033398821218
"Carlton",2.28830990743915,0.0942749400068564
"Docklands",2.75715800636267,0.063626723223754
"East Melbourne",2.73466371027347,0.197092880019709
"Flemington Racecourse",-1.96078431372549,-15.6862745098039
"Kensington",3.64543777801888,0.954757513290659
"Melbourne",2.39528165623495,-0.361097737120847
"North Melbourne",3.4776547130354,0.650608008674774
"Parkville",3.59933035714286,1.78571428571429
"South Yarra - West",4.29227390696746,1.01816729886205
"Southbank",3.43087790110999,0.464177598385469
"West Melbourne",NA,NA
"Albert Park",3.46124328472755,1.3584036838066
"Elwood",2.94432548179872,0.680636280208015
"Port Melbourne",2.98777727478497,1.1619133846386
"Port Melbourne Industrial",-Inf,-Inf
"South Melbourne",2.75460052577437,0.891530460624071
"St Kilda",3.11222885884942,0.717803625694226
"St Kilda East",2.92328956461645,0.511402902557014
"Armadale",2.31945837512538,0.714643931795386
"Prahran - Windsor",4.05465806781176,0.951407956069216
"South Yarra - East",4.28873452129266,1.37420718816068
"Toorak",4.49324324324324,2.2972972972973
"Abbotsford",2.87244401168452,0.803310613437196
"Carlton North - Princes Hill",3.42587875700458,0.191034131431482
"Collingwood",2.7973290019852,0.342898393791734
"Fitzroy",3.04417770077961,0.136121767108031
"Fitzroy North",2.97373358348968,0.422138836772983
"Richmond (Vic.)",3.15886364587256,0.970670683235011
"Yarra - North",3.13864628820961,1.32368995633188
"Ashburton (Vic.)",2.25563909774436,1.74046226677806
"Balwyn",3.09776049349604,2.30655759688883
"Balwyn North",2.94557647665721,2.33169976786175
"Camberwell",2.85592724565229,1.99436260171249
"Glen Iris - East",3.09218203033839,2.08738493452612
"Hawthorn",3.16448918397944,1.44570571856929
"Hawthorn East",2.90545367944749,1.59561800428673
"Kew",3.51535361956371,2.07493863183734
"Kew East",2.6893251938624,1.36941098828576
"Surrey Hills (West) - Canterbury",2.90439960304333,1.94508766126365
"Bulleen",2.80724814571402,2.32841986667919
"Doncaster",2.9344234753878,2.79442235537884
"Doncaster East",2.72207396111323,2.47045367899352
"Templestowe",2.99987448223924,2.74256307267478
"Templestowe Lower",2.2349523963208,2.22688397611748
"Blackburn",2.05029633189172,1.52170430882589
"Blackburn South",1.93670759708496,1.88679245283019
"Box Hill",2.16287380101561,1.81806783273776
"Box Hill North",2.37029565655929,1.81554560927946
"Burwood",1.25318390219052,0.774325012735609
"Burwood East",1.76891615541922,1.39059304703476
"Surrey Hills (East) - Mont Albert",2.25841476655809,1.36807817589577
"Beaumaris",3.17777955655167,2.2412551028576
"Brighton (Vic.)",3.71599203715992,2.31739063855852
"Brighton East",3.2894283152886,2.16536790566168
"Cheltenham - Highett (West)",2.94486215538847,1.70217209690894
"Hampton",2.71711847389558,1.68800200803213
"Sandringham - Black Rock",3.12566146899033,2.05319974599591
"Bentleigh - McKinnon",2.62451535937966,1.99323988468039
"Bentleigh East",2.06453158693395,1.90080664483667
