"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","1.1166682861689e-15","1"
"Airport West","8.92181697671045e-09","1"
"Albert Park","0.00111782908300149","1"
"Alphington - Fairfield","0.00245387680356115","1"
"Altona","0.0188140383149766","1"
"Altona Meadows","0.480065360463502","0"
"Altona North","0.163688966913365","0"
"Ardeer - Albion","1.78004831662373e-14","1"
"Armadale","2.09954851563015e-08","1"
"Ascot Vale","0.081979552719349","0"
"Ashburton (Vic.)","0.0022051456218922","1"
"Ashwood - Chadstone","0.0841075676622805","0"
"Aspendale Gardens - Waterways","0.00995538057305093","1"
"Bacchus Marsh","0.0522014636753819","0"
"Balwyn","0.177766696859214","0"
"Balwyn North","0.591482717554691","0"
"Bayswater","0.00176836771563459","1"
"Bayswater North","0.00286100560818598","1"
"Beaconsfield - Officer","1.04751274296217e-08","1"
"Beaumaris","0.378287488348295","0"
"Belgrave - Selby","0.0444815037231309","1"
"Bentleigh East","0.716733401665842","0"
"Bentleigh - McKinnon","0.479857398157674","0"
"Berwick - North","0.701327198304115","0"
"Berwick - South","0.230468561076919","0"
"Blackburn","0.403154241664204","0"
"Blackburn South","0.0580970501723444","0"
"Boronia - The Basin","0.679102304093051","0"
"Box Hill","0.0973728673249738","0"
"Box Hill North","0.237307548492893","0"
"Braeside","2.06324132377795e-21","1"
"Braybrook","8.8335473892624e-05","1"
"Brighton East","0.145275726850363","0"
"Brighton (Vic.)","0.403735666083914","0"
"Broadmeadows","1.8455122496989e-06","1"
"Brunswick","0.0178669298660084","1"
"Brunswick East","9.84085170734641e-10","1"
"Brunswick West","0.000967312486694373","1"
"Bulleen","0.25042211005654","0"
"Bundoora - East","0.00277952427116989","1"
"Bundoora - North","2.57983565169518e-12","1"
"Bundoora - West","6.51186544215061e-06","1"
"Bunyip - Garfield","0.00225170255289545","1"
"Burwood","6.1862610160805e-07","1"
"Burwood East","0.00169491373886822","1"
"Cairnlea","6.20003638112742e-11","1"
"Camberwell","0.152260317583566","0"
"Campbellfield - Coolaroo","0.00403156099542057","1"
"Carlton","5.06804250041123e-20","1"
"Carlton North - Princes Hill","3.98709892240385e-15","1"
"Carnegie","0.00687748846674365","1"
"Caroline Springs","0.0799874506825118","0"
"Carrum Downs","0.0586639278376096","0"
"Carrum - Patterson Lakes","0.0743165472851921","0"
"Caulfield - North","0.348139429223844","0"
"Caulfield - South","0.293302707096678","0"
"Chelsea - Bonbeach","0.018965586923458","1"
"Chelsea Heights","0.000156879872035978","1"
"Cheltenham - Highett (East)","0.647254418984698","0"
"Cheltenham - Highett (West)","0.00053873292400575","1"
"Chirnside Park","0.061652397430646","0"
"Clarinda - Oakleigh South","0.0405093129090237","1"
"Clayton","3.64836478176831e-07","1"
"Clayton South","7.1766427183965e-09","1"
"Coburg","0.457813872341289","0"
"Coburg North","0.00238126539003822","1"
"Collingwood","1.64810474748542e-17","1"
"Craigieburn - Mickleham","0.0669863647343649","0"
"Cranbourne","0.0325401321817033","1"
"Cranbourne East","3.38682049978464e-08","1"
"Cranbourne North","1.39400959842011e-08","1"
"Cranbourne South","8.68966295756756e-10","1"
"Cranbourne West","3.7699676511262e-09","1"
"Croydon","0.892633828726022","0"
"Croydon Hills - Warranwood","0.426564031428657","0"
"Dandenong","0.0962867554411563","0"
"Dandenong North","0.711903862136887","0"
"Deer Park - Derrimut","1.02525134842079e-06","1"
"Delahey","2.87252146579916e-06","1"
"Dingley Village","0.266668416875281","0"
"Docklands","7.55250061157111e-18","1"
"Doncaster","0.694704861266117","0"
"Doncaster East","0.787690331120107","0"
"Donvale - Park Orchards","0.265834626102429","0"
"Doveton","1.67018260639023e-05","1"
"Dromana","0.0241792198451482","1"
"East Melbourne","5.92030064011712e-19","1"
"Edithvale - Aspendale","0.0106373007691756","1"
"Elsternwick","0.0052593512607004","1"
"Eltham","0.478606868774393","0"
"Elwood","5.56625877808423e-11","1"
"Emerald - Cockatoo","0.672122872893933","0"
"Endeavour Hills","0.672617006588084","0"
"Epping","0.567659731166335","0"
"Essendon - Aberfeldie","0.463829983407925","0"
"Fawkner","0.0560696745889339","0"
"Ferntree Gully","0.707762442393916","0"
"Fitzroy","5.6349780400143e-19","1"
"Fitzroy North","1.16894570498054e-13","1"
"Flemington","3.01931914354975e-12","1"
"Flemington Racecourse","5.93090891733966e-21","1"
"Flinders","0.000454570253353646","1"
"Footscray","6.97669999233275e-12","1"
"Forest Hill","0.0795817170166499","0"
"Frankston","0.706737040890792","0"
"Frankston North","0.698886347313651","0"
"Frankston South","0.558532893899311","0"
"Gisborne","0.108541569565558","0"
"Gladstone Park - Westmeadows","0.450057133573942","0"
"Glen Iris - East","0.0578381817863393","0"
"Glenroy - Hadfield","0.892528774023983","0"
"Glen Waverley - East","0.381926089613099","0"
"Glen Waverley - West","0.352175075812515","0"
"Greensborough","0.473384421642848","0"
"Greenvale - Bulla","7.08364506133273e-05","1"
"Hallam","3.79848589763135e-08","1"
"Hampton","0.0781302582211996","0"
"Hampton Park - Lynbrook","0.0800389282889919","0"
"Hastings - Somers","0.163845526488354","0"
"Hawthorn","0.0127803809654956","1"
"Hawthorn East","0.00609238782070853","1"
"Healesville - Yarra Glen","0.0401641694976445","1"
"Heidelberg - Rosanna","0.181818125613212","0"
"Heidelberg West","0.178146062591703","0"
"Hillside","0.00107712919591779","1"
"Hoppers Crossing - North","0.117957219237932","0"
"Hoppers Crossing - South","0.530100769377778","0"
"Hughesdale","1.92749399477423e-05","1"
"Hurstbridge","1.95924522527908e-08","1"
"Ivanhoe","0.00181372828660398","1"
"Ivanhoe East - Eaglemont","0.00701828871213103","1"
"Keilor","0.00457533884159183","1"
"Keilor Downs","0.00229000297991632","1"
"Keilor East","0.545415154585423","0"
"Kensington","1.98220940480951e-09","1"
"Kew","0.476468531795211","0"
"Kew East","2.85789309902596e-07","1"
"Keysborough","0.143091487290648","0"
"Kilsyth","3.00749196686119e-05","1"
"Kinglake","9.68579116194845e-10","1"
"Kingsbury","8.05596656876381e-14","1"
"Kings Park (Vic.)","0.0100745917442608","1"
"Knoxfield - Scoresby","0.028997459720483","1"
"Koo Wee Rup","7.45723096817892e-09","1"
"Lalor","0.0648416518587546","0"
"Langwarrin","0.72099417151118","0"
"Laverton","3.27959216145368e-18","1"
"Lilydale - Coldstream","0.243285220651569","0"
"Lynbrook - Lyndhurst","1.11508785093427e-09","1"
"Lysterfield","2.25424181069093e-08","1"
"Macedon","9.43091538073995e-08","1"
"Malvern East","0.396601752454057","0"
"Malvern - Glen Iris","0.131312269850284","0"
"Maribyrnong","1.13584711520842e-09","1"
"Meadow Heights","0.00630000900266306","1"
"Melbourne","1.25896740801914e-10","1"
"Melbourne Airport","9.06803403083181e-20","1"
"Melton","0.0335805768307725","1"
"Melton South","0.219707640674214","0"
"Melton West","0.00196210477218578","1"
"Mentone","6.42815512509992e-06","1"
"Mill Park - North","0.222425378392548","0"
"Mill Park - South","0.000661296997895935","1"
"Mitcham (Vic.)","0.101141414132307","0"
"Monbulk - Silvan","1.20297229218239e-05","1"
"Montmorency - Briar Hill","0.120810582469588","0"
"Montrose","5.97575664384484e-07","1"
"Moonee Ponds","0.0704837379002014","0"
"Moorabbin - Heatherton","0.00152956437188711","1"
"Mooroolbark","0.661817242979759","0"
"Mordialloc - Parkdale","0.210895535705711","0"
"Mornington","0.524293036986857","0"
"Mount Dandenong - Olinda","0.0803579461236918","0"
"Mount Eliza","0.358442151081123","0"
"Mount Evelyn","0.000466780443323207","1"
"Mount Martha","0.240640052311579","0"
"Mount Waverley - North","0.17823424679066","0"
"Mount Waverley - South","0.387337010772973","0"
"Mulgrave","0.357536119665183","0"
"Murrumbeena","1.77134037988885e-07","1"
"Narre Warren","0.506886879939974","0"
"Narre Warren North","5.25372182575146e-07","1"
"Narre Warren South","0.186220790859818","0"
"Newport","0.146448797127456","0"
"Niddrie - Essendon West","3.85863566443048e-08","1"
"Noble Park","0.00325521442598662","1"
"Noble Park North","2.47943227159907e-14","1"
"Northcote","0.0420435695994593","1"
"North Melbourne","1.02064364442709e-07","1"
"Nunawading","5.15743376411274e-07","1"
"Oakleigh - Huntingdale","0.0147519288980702","1"
"Ormond - Glen Huntly","0.000396524538288161","1"
"Pakenham - North","0.00141151026859574","1"
"Pakenham - South","0.446976246136508","0"
"Panton Hill - St Andrews","0.00610788578783961","1"
"Parkville","9.92701691298643e-09","1"
"Pascoe Vale","0.349710537572742","0"
