SA2,APD,APD%,Population size
Abbotsford,0,0,1834
Airport West,0,0,2808
Albert Park,0,0,6134
Alphington - Fairfield,0,0,3278
Altona,0,0,4898
Altona Meadows,0,0,6677
Altona North,0,0,4673
Ardeer - Albion,0,0,2695
Armadale,0,0,3803
Ascot Vale,0,0,5299
Ashburton (Vic.),0,0,2603
Ashwood - Chadstone,0,0,5923
Aspendale Gardens - Waterways,0,0,2697
Bacchus Marsh,0,0,6068
Balwyn,0,0,5625
Balwyn North,0,0,6713
Bayswater,0,0,4310
Bayswater North,0,0,4113
Beaconsfield - Officer,0,0,2546
Beaumaris,0,0,4590
Belgrave - Selby,0,0,3367
Bentleigh East,0,0,9422
Bentleigh - McKinnon,0,0,7682
Berwick - North,0,0,7752
Berwick - South,0,0,6992
Blackburn,0,0,7170
Blackburn South,0,0,3823
Boronia - The Basin,0,0,9578
Box Hill,0,0,6455
Box Hill North,0,0,6117
Braeside,0,0,3
Braybrook,0,0,5221
Brighton East,0,0,5364
Brighton (Vic.),0,0,7692
Broadmeadows,0,0,3657
Brunswick,0,0,9286
Brunswick East,0,0,3572
Brunswick West,0,0,5556
Bulleen,0,0,4026
Bundoora - East,0,0,3342
Bundoora - North,0,0,1747
Bundoora - West,0,0,2185
Bunyip - Garfield,0,0,2732
Burwood,0,0,3862
Burwood East,0,0,3637
Cairnlea,0,0,2421
Camberwell,0,0,6858
Campbellfield - Coolaroo,0,0,4695
Carlton,0,0,6370
Carlton North - Princes Hill,0,0,3485
Carnegie,0,0,6722
Caroline Springs,0,0,8069
Carrum Downs,0,0,6696
Carrum - Patterson Lakes,0,0,4373
Caulfield - North,0,0,7257
Caulfield - South,0,0,6093
Chelsea - Bonbeach,0,0,5545
Chelsea Heights,0,0,1841
Cheltenham - Highett (East),0,0,8016
Cheltenham - Highett (West),0,0,3834
Chirnside Park,0,0,3143
Clarinda - Oakleigh South,0,0,3856
Clayton,0,0,5739
Clayton South,0,0,3980
Coburg,0,0,9112
Coburg North,0,0,2405
Collingwood,0,0,2734
Craigieburn - Mickleham,0,0,10488
