SA2;SAE;Population size
Abbotsford;0.00809815950920245;4075
Airport West;0.00983953981229186;6606
Albert Park;0.0137711040224072;12853
Alphington - Fairfield;0.015625;7744
Altona;0.0180592991913747;11130
Altona Meadows;0.029045404971012;17421
Altona North;0.0145822611082518;11658
Ardeer - Albion;0.00722410083000307;6506
Armadale;0.00719787852001515;7919
Ascot Vale;0.021859680141445;12443
Ashburton (Vic.);0.0177129091682018;7057
Ashwood - Chadstone;0.0167352902111834;15058
Aspendale Gardens - Waterways;0.0241283628905779;8289
Bacchus Marsh;0.0162515566625156;16060
Balwyn;0.0236101578586136;14570
Balwyn North;0.0238736597475308;18933
Bayswater;0.0167560321715818;10444
Bayswater North;0.0185718265391401;10769
Beaconsfield - Officer;0.0123684210526316;7600
Beaumaris;0.0229263899123884;12213
Belgrave - Selby;0.0286928799149841;9410
Bentleigh - McKinnon;0.0203377795810722;19717
Bentleigh East;0.0193763738500366;24566
Berwick - North;0.0198189380964032;20435
Berwick - South;0.0190415741034592;22057
Blackburn;0.0154521795705921;18444
Blackburn South;0.0192307692307692;9828
Boronia - The Basin;0.0186727335164835;23296
Box Hill;0.018517336057723;15661
Box Hill North;0.0184911717495987;15575
Braeside;0.5;6
Braybrook;0.0105233219567691;14064
Brighton (Vic.);0.0237236766473324;19137
Brighton East;0.0221329386057658;14187
Broadmeadows;0.00947358140443403;10239
Brunswick;0.0131737102745324;20799
Brunswick East;0.00806350006299609;7937
Brunswick West;0.0132428676530696;12233
Bulleen;0.0238392771315967;10403
Bundoora - East;0.0130895960279847;8862
Bundoora - North;0.0133937364585385;5077
Bundoora - West;0.0189783611209649;5638
Bunyip - Garfield;0.0122779519331243;7656
Burwood;0.00780367594208851;9739
Burwood East;0.0141020323517213;9644
Cairnlea;0.0123325032609985;8433
Camberwell;0.0203494682005644;18428
Campbellfield - Coolaroo;0.0112889983579639;14616
Carlton;0.00094363901518401;11657
Carlton North - Princes Hill;0.0047211943345668;7837
Carnegie;0.00990955041234371;15036
Caroline Springs;0.0176601333602748;24745
Carrum - Patterson Lakes;0.0186798296554394;10332
Carrum Downs;0.0151873881157244;17317
Caulfield - North;0.0167313019390582;18050
Caulfield - South;0.0194084413426387;15045
Chelsea - Bonbeach;0.0148806978534166;11693
Chelsea Heights;0.0287813839559094;4899
Cheltenham - Highett (East);0.0146779303062302;18940
Cheltenham - Highett (West);0.0173164772123659;9413
Chirnside Park;0.0244158878504673;8560
Clarinda - Oakleigh South;0.0194487971241589;10849
Clayton;0.00828363154406892;15090
Clayton South;0.010034665207079;10962
Coburg;0.0182217627293874;23214
Coburg North;0.0166023813516686;5963
Collingwood;0.00416515755161173;5522
Craigieburn - Mickleham;0.014305322556047;32785
Cranbourne;0.0186803080813887;17398
Cranbourne East;0.0128930403894224;7601
Cranbourne North;0.00586234348990374;13817
Cranbourne South;0.0148681055155875;6255
Cranbourne West;0.0146864090526062;8307
Croydon;0.0210629706428026;27489
Croydon Hills - Warranwood;0.0292622369354457;16916
Dandenong;0.00876710008047097;23611
Dandenong North;0.0216229468006864;20395
Deer Park - Derrimut;0.00846180032096484;20563
Delahey;0.0189978324620681;7843
Dingley Village;0.0262695211500672;9669
Docklands;0.0048811544991511;4712
Doncaster;0.0287475515612398;17358
Doncaster East;0.0253303103744821;25582
Donvale - Park Orchards;0.0268694022078734;14403
Doveton;0.0141942369263607;9370
Dromana;0.0198303816413071;8018
East Melbourne;0.00493705257960997;4051
Edithvale - Aspendale;0.015973585579154;11206
Elsternwick;0.0144490644490644;9620
Eltham;0.0280784531409011;21618
Elwood;0.00793100793100793;12987
Emerald - Cockatoo;0.0284398531333624;16069
Endeavour Hills;0.0238612603009307;24391
Epping;0.0171970745206563;25295
Essendon - Aberfeldie;0.016897215899142;22844
Fawkner;0.00988142292490119;11638
Ferntree Gully;0.0209306742640076;26325
Fitzroy;0.00210656753407683;8070
Fitzroy North;0.00423928403203015;10615
Flemington;0.007557289127255;8204
Flemington Racecourse;0.135593220338983;59
Flinders;0.0211744160663611;4581
Footscray;0.00757644087670244;11087
Forest Hill;0.0151563328033916;9435
Frankston;0.0197435897435897;19500
Frankston North;0.0245774849613291;17455
Frankston South;0.0226044226044226;16280
Gisborne;0.0283173866821301;10347
Gladstone Park - Westmeadows;0.0212726370627636;16124
Glen Iris - East;0.0213188559322034;15104
Glen Waverley - East;0.0170874384236453;19488
Glen Waverley - West;0.0188756668034469;17059
Glenroy - Hadfield;0.0214024777636595;25184
Greensborough;0.0217814489398643;19007
Greenvale - Bulla;0.0120130427321091;11654
Hallam;0.00838926174496644;9536
Hampton;0.0171698474500543;15667
Hampton Park - Lynbrook;0.014916810097533;22659
Hastings - Somers;0.0191831683168317;17776
Hawthorn;0.0146691296316419;18406
Hawthorn East;0.01621490803485;12396
Healesville - Yarra Glen;0.0221731373715062;11771
Heidelberg - Rosanna;0.0184328120012767;12532
Heidelberg West;0.0240549828178694;12222
Hillside;0.0155702345645727;14836
Hoppers Crossing - North;0.0225799239883747;17892
Hoppers Crossing - South;0.0201938610662359;17332
Hughesdale;0.0181956027293404;6595
Hurstbridge;0.0342857142857143;3325
Ivanhoe;0.013640730067243;10410
Ivanhoe East - Eaglemont;0.0253919800194256;7207
Keilor;0.0215423836838751;7845
Keilor Downs;0.0149733458764503;12756
Keilor East;0.0175632631392674;22604
Kensington;0.0122685945886735;9129
Kew;0.0211890460199593;21143
Kew East;0.0138842422214788;5978
Keysborough;0.0163209434558282;18994
Kilsyth;0.0154539600772698;7765
Kinglake;0.0300940438871473;3190
Kings Park (Vic.);0.0155230058907817;12562
Kingsbury;0.00628053035589672;8598
Knoxfield - Scoresby;0.0172871271206883;12437
Koo Wee Rup;0.00847043492425477;6139
Lalor;0.0103670792341056;18906
Langwarrin;0.0284955999441263;21477
Laverton;0.00798362333674514;4885
Lilydale - Coldstream;0.0194474089884976;16866
Lynbrook - Lyndhurst;0.0122954524907332;11061
Lysterfield;0.0150279776179057;6255
Macedon;0.0364126770060688;2966
Malvern - Glen Iris;0.0174684832381706;17689
Malvern East;0.021905629050399;18671
Maribyrnong;0.00991365526063319;9381
Meadow Heights;0.0152650176678445;14150
Melbourne;0.00359798512832814;16676
Melbourne Airport;0.285714285714286;49
Melton;0.0182945359508904;16453
Melton South;0.0252036482628977;14363
Melton West;0.0178760793819118;13202
Mentone;0.00887352886232019;10706
Mill Park - North;0.0222541690626797;17390
Mill Park - South;0.0183684028975509;11596
Mitcham (Vic.);0.0163020163020163;13986
Monbulk - Silvan;0.0281171223579601;5157
Montmorency - Briar Hill;0.0197498804072986;14633
Montrose;0.0179328333876753;6134
Moonee Ponds;0.0190598222151037;12487
Moorabbin - Heatherton;0.0203417412530513;7374
Mooroolbark;0.0255792495386508;19508
Mordialloc - Parkdale;0.0138904832969808;17422
Mornington;0.0201270151441133;20470
Mount Dandenong - Olinda;0.0216931805540105;8989
Mount Eliza;0.0208744351810603;15713
Mount Evelyn;0.0206997412532343;8889
Mount Martha;0.0220107464232537;15447
Mount Waverley - North;0.0186261466283874;14281
Mount Waverley - South;0.0197940432879078;16217
Mulgrave;0.0238478507124545;16773
Murrumbeena;0.010519877675841;8175
Narre Warren;0.0142214957090315;24470
Narre Warren North;0.0159442724458204;6460
Narre Warren South;0.0148430411903466;27555
Newport;0.0166466906379012;15018
Niddrie - Essendon West;0.00463499420625724;6041
Noble Park;0.00771616612451774;26438
Noble Park North;0.00525717533390168;7038
North Melbourne;0.00654868636469946;12827
Northcote;0.0134908820245627;21496
Nunawading;0.0123481181467944;10123
Oakleigh - Huntingdale;0.0129381197306326;18859
Ormond - Glen Huntly;0.0139127447612504;11644
Pakenham - North;0.015927861115793;11866
Pakenham - South;0.0162593466151453;19927
Panton Hill - St Andrews;0.0359666024405909;4671
Parkville;0.0181818181818182;3520
Pascoe Vale;0.0145032632342277;19306
Pascoe Vale South;0.0231445421163903;8987
Pearcedale - Tooradin;0.0216657287563309;7108
Plenty - Yarrambat;0.014140938015555;8486
Point Cook;0.0156077974224467;30882
Point Nepean;0.0157451748657669;13782
Port Melbourne;0.0117557251908397;13100
Port Melbourne Industrial;1;7
Prahran - Windsor;0.00960546673543063;15512
Preston;0.0200692296361762;27156
Research - North Warrandyte;0.0217109526895658;6172
Reservoir - East;0.00792497688548408;22713
Reservoir - West;0.0162819069069069;21312
Richmond (Vic.);0.00980185052177954;23669
Riddells Creek;0.0276367738296672;3546
Ringwood;0.0154238197424893;14912
Ringwood East;0.017129524243114;17572
Ringwood North;0.0265294453973699;8745
Rockbank - Mount Cottrell;0.0116354234001293;1547
Romsey;0.0184366712968809;7919
Rosebud - McCrae;0.0148237872757686;17337
Rowville - Central;0.0251835586358334;14573
Rowville - North;0.0155179102547524;7733
Rowville - South;0.0221473278767453;10385
Roxburgh Park - Somerton;0.00985583224115334;19075
Sandringham - Black Rock;0.0209623973490851;13882
Seabrook;0.0154759380962476;4717
Seaford (Vic.);0.01371358395306;14657
Seddon - Kingsville;0.00861847182917417;7774
Skye - Sandhurst;0.0272826844568356;10043
Somerville;0.0271178159164478;16373
South Melbourne;0.0103794256717795;8671
South Morang;0.0192408413044078;36277
South Yarra - East;0.0139335476956056;13062
South Yarra - West;0.0106897942718838;4958
Southbank;0.00466342254663423;9864
Springvale;0.00708237925342137;18779
Springvale South;0.011411149825784;11480
St Albans - North;0.0103080975833238;17462
St Albans - South;0.0157469626009638;14733
St Kilda;0.00902422291413795;18949
St Kilda East;0.00861350375104196;14396
Strathmore;0.0188414277355178;8545
Sunbury;0.0179877279986551;11897
Sunbury - South;0.0167271439950438;22598
Sunshine;0.0211693548387097;7936
Sunshine North;0.0069622197194635;9767
Sunshine West;0.0175416133162612;15620
Surrey Hills (East) - Mont Albert;0.0138705416116248;9084
Surrey Hills (West) - Canterbury;0.019836718170164;14821
Sydenham;0.00678221552373775;10616
Tarneit;0.0196307094266278;20580
Taylors Hill;0.0105770518141652;14938
Taylors Lakes;0.0153356481481481;17280
Templestowe;0.028199006259276;15497
Templestowe Lower;0.0227760356494471;12118
Thomastown;0.0151475852051668;19277
Thornbury;0.012223118446361;16117
Toorak;0.0235131396957123;11568
Truganina;0.0060228664761127;9796
Tullamarine;0.0100408441116406;5876
Upwey - Tecoma;0.0212951840122311;9157
Vermont;0.0197924467743661;9347
Vermont South;0.021810047534719;10729
Viewbank - Yallambie;0.0196149217809868;16620
Wallan;0.0262016624503072;11068
Wandin - Seville;0.0122839594343665;7001
Wantirna;0.02494593759654;12948
Wantirna South;0.0285575404058816;16458
Warrandyte - Wonga Park;0.031471866059129;9437
Watsonia;0.0179915333960489;8504
Wattle Glen - Diamond Creek;0.020743301642178;12727
Werribee;0.0184284617353468;27349
Werribee - South;0.0269538973878655;9609
West Footscray - Tottenham;0.0155046935977218;9481
Wheelers Hill;0.0308580308580309;18018
Whittlesea;0.0135568513119534;6860
Williamstown;0.0184448462929476;13825
Wyndham Vale;0.0211009743685223;16113
Yarra - North;0.013414465495782;7231
Yarra Valley;0.0259507212368003;14489
Yarraville;0.0173072425352771;12827
