"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","9.30974034017124e-10","1"
"Airport West","3.23929088044204e-05","1"
"Albert Park","0.000347130297925271","1"
"Alphington - Fairfield","1.59544189247437e-05","1"
"Altona","0.000349085066632817","1"
"Altona Meadows","0.00188745043746736","1"
"Altona North","0.000439182933380381","1"
"Ardeer - Albion","9.05370024215001e-06","1"
"Armadale","5.9834785460713e-08","1"
"Ascot Vale","0.000110376364921729","1"
"Ashburton (Vic.)","0.000257789239235337","1"
"Ashwood - Chadstone","0.0142366476833202","1"
"Aspendale Gardens - Waterways","5.89943697905643e-09","1"
"Bacchus Marsh","0.00203794048170254","1"
"Balwyn","0.0008620188535692","1"
"Balwyn North","0.00332102961309025","1"
"Bayswater","0.00556886679089405","1"
"Bayswater North","1.51293497144508e-06","1"
"Beaconsfield - Officer","2.04560508387937e-07","1"
"Beaumaris","0.00816675408460212","1"
"Belgrave - Selby","2.8415737842038e-06","1"
"Bentleigh - McKinnon","0.0142476627972462","1"
"Bentleigh East (North)","0.000507076392904063","1"
"Bentleigh East (South)","0.000870146109539178","1"
"Berwick - North","0.0030040856645373","1"
"Berwick - South","0.000409636060062875","1"
"Blackburn","0.0441605896249785","1"
"Blackburn South","2.95581987205828e-05","1"
"Boronia","0.052306590544756","0"
"Box Hill","0.055782094228196","0"
"Box Hill North","0.00715800706653233","1"
"Braeside","7.80249336472633e-21","1"
"Braybrook","0.24045517990377","0"
"Brighton (Vic.)","0.0073280520049371","1"
"Brighton East","0.000976515575255282","1"
"Broadmeadows","0.000514358012582027","1"
"Brunswick","0.000192866425984268","1"
"Brunswick East","3.29929028715531e-07","1"
"Brunswick West","5.03414422456936e-05","1"
"Bulleen","0.000162827013074742","1"
"Bundoora - East","1.21616953738222e-05","1"
"Bundoora - North","4.91834794084884e-07","1"
"Bundoora - West","2.34592333595617e-06","1"
"Bunyip - Garfield","0.00132172554403393","1"
"Burnside","1.96476787002406e-11","1"
"Burnside Heights","4.09189221371944e-13","1"
"Burwood","0.000317680926876747","1"
"Burwood East","0.000668574746861915","1"
"Cairnlea","2.65269043650056e-06","1"
"Camberwell","0.00564055290780861","1"
"Campbellfield - Coolaroo","1.61232692678525e-06","1"
"Carlton","2.26700377137738e-10","1"
"Carlton North - Princes Hill","2.33406818740352e-06","1"
"Carnegie","0.00513553942572598","1"
"Caroline Springs","3.7638748745882e-07","1"
"Carrum - Patterson Lakes","0.000123276587641644","1"
"Carrum Downs","0.00272925026880666","1"
"Caulfield - North","0.00625230352478299","1"
"Caulfield - South","0.00611902717972718","1"
"Chelsea - Bonbeach","0.000741940550328205","1"
