SA2;Cosine similarity
Abbotsford;1
Airport West;1
Albert Park;1
Alphington - Fairfield;1
Altona;1
Altona Meadows;1
Altona North;1
Ardeer - Albion;1
Armadale;1
Ascot Vale;1
Ashburton (Vic.);1
Ashwood - Chadstone;1
Aspendale Gardens - Waterways;1
Bacchus Marsh;1
Balwyn;1
Balwyn North;1
Bayswater;1
Bayswater North;1
Beaconsfield - Officer;1
Beaumaris;1
Belgrave - Selby;1
Bentleigh - McKinnon;1
Bentleigh East (North);1
Bentleigh East (South);1
Berwick - North;1
Berwick - South;1
Blackburn;1
Blackburn South;1
Boronia;1
Box Hill;1
Box Hill North;1
Braeside;1
Braybrook;1
Brighton (Vic.);1
Brighton East;1
Broadmeadows;1
Brunswick;1
Brunswick East;1
Brunswick West;1
Bulleen;1
Bundoora - East;1
Bundoora - North;1
Bundoora - West;1
Bunyip - Garfield;1
Burnside;1
Burnside Heights;1
Burwood;1
Burwood East;1
Cairnlea;1
Camberwell;1
Campbellfield - Coolaroo;1
Carlton;1
Carlton North - Princes Hill;1
Carnegie;1
Caroline Springs;1
Carrum - Patterson Lakes;1
Carrum Downs;1
Caulfield - North;1
Caulfield - South;1
Chelsea - Bonbeach;1
Chelsea Heights;1
Cheltenham - Highett (East);1
Cheltenham - Highett (West);1
Chirnside Park;1
Clarinda - Oakleigh South;1
Clayton;1
Clayton South;1
Coburg;1
Coburg North;1
Collingwood;1
Craigieburn - Central;1
Craigieburn - North;1
Craigieburn - South;1
Craigieburn - West;1
Cranbourne;1
Cranbourne East;1
Cranbourne North;1
Cranbourne South;1
Cranbourne West;1
Croydon - East;1
Croydon - West;1
Croydon Hills - Warranwood;1
Croydon South;1
Dandenong;1
Dandenong North;1
Deer Park - Derrimut;1
Delahey;1
Dingley Village;1
Docklands;1
Doncaster;1
Doncaster East (North);1
Doncaster East (South);1
Donvale - Park Orchards;1
Doreen;1
Doveton;1
Dromana;1
East Melbourne;1
Edithvale - Aspendale;1
Elsternwick;1
Eltham;1
Elwood;1
Emerald - Cockatoo;1
Endeavour Hills - North;1
Endeavour Hills - South;1
Epping - East;1
Epping - South;1
Epping - West;1
Essendon - Aberfeldie;1
Fawkner;1
Ferntree Gully (North);1
Ferntree Gully (South) - Upper Ferntree Gully;1
Fitzroy;1
Fitzroy North;1
Flemington;1
Flemington Racecourse;1
Flinders;1
Footscray;1
Forest Hill;1
Frankston;1
Frankston North;1
Frankston South;1
Gisborne;1
Gladstone Park - Westmeadows;1
Glen Iris - East;1
Glen Waverley - East;1
Glen Waverley - West;1
Glenroy;1
Gowanbrae;1
Greensborough;1
Greenvale - Bulla;1
Hadfield;1
Hallam;1
Hampton;1
Hampton Park - Lynbrook;1
Hastings - Somers;1
Hawthorn;1
Hawthorn East;1
Healesville - Yarra Glen;1
Heidelberg - Rosanna;1
Heidelberg West;1
Hillside;1
Hoppers Crossing - North;1
Hoppers Crossing - South;1
Hughesdale;1
Hurstbridge;1
Ivanhoe;1
Ivanhoe East - Eaglemont;1
Keilor;1
Keilor Downs;1
Keilor East;1
Kensington (Vic.);1
Kew;1
Kew East;1
Keysborough;1
Kilsyth;1
Kinglake;1
Kings Park (Vic.);1
Kingsbury;1
Knoxfield - Scoresby;1
Koo Wee Rup;1
Lalor;1
Langwarrin;1
Laverton;1
Lilydale - Coldstream;1
Lynbrook - Lyndhurst;1
Lysterfield;1
Macedon;1
Malvern - Glen Iris;1
Malvern East;1
Maribyrnong;1
Meadow Heights;1
Melbourne;1
Melbourne Airport;1
Melton;1
Melton South;1
Melton West;1
Mentone;1
Mernda;1
Mickleham - Yuroke;1
Mill Park - North;1
Mill Park - South;1
Mitcham (Vic.);1
Monbulk - Silvan;1
Montmorency - Briar Hill;1
Montrose;1
Moonee Ponds;1
Moorabbin - Heatherton;1
Mooroolbark;1
Mordialloc - Parkdale;1
Mornington;1
Mount Dandenong - Olinda;1
Mount Eliza;1
Mount Evelyn;1
Mount Martha;1
Mount Waverley - North;1
Mount Waverley - South;1
Mulgrave;1
Murrumbeena;1
Narre Warren - North East;1
Narre Warren - South West;1
Narre Warren North;1
Narre Warren South (East);1
Narre Warren South (West);1
Newport;1
Niddrie - Essendon West;1
Noble Park - East;1
Noble Park - West;1
Noble Park North;1
North Melbourne;1
Northcote;1
Nunawading;1
Oakleigh - Huntingdale;1
Ormond - Glen Huntly;1
Pakenham - North;1
Pakenham - South;1
Panton Hill - St Andrews;1
Parkville;1
Pascoe Vale;1
Pascoe Vale South;1
Pearcedale - Tooradin;1
Plenty - Yarrambat;1
Point Cook - East;1
Point Cook - North;1
Point Cook - South;1
Point Nepean;1
Port Melbourne;1
Port Melbourne Industrial;1
Prahran - Windsor;1
Preston - East;1
