,SA2,p-value
mu= 2,Equivalent
alpha=0.05
confidence=90%
1,Abbotsford,4.26646201322896e-21,1
2,Airport West,4.41811681664931e-21,1
3,Albert Park,4.39834217920987e-21,1
4,Alphington - Fairfield,4.22541926338142e-21,1
5,Altona,4.5144327439435e-21,1
6,Altona Meadows,4.46545251582289e-21,1
7,Altona North,4.5400602850137e-21,1
8,Ardeer - Albion,4.33893129978743e-21,1
9,Armadale,4.33893129978743e-21,1
10,Ascot Vale,4.33893129978743e-21,1
11,Ashburton (Vic.),4.39834217920987e-21,1
12,Ashwood - Chadstone,4.42351086993873e-21,1
13,Aspendale Gardens - Waterways,4.29118107432668e-21,1
14,Bacchus Marsh,4.39815762279239e-21,1
15,Balwyn,4.5402506360044e-21,1
16,Balwyn North,4.56295690218201e-21,1
17,Bayswater,4.53986994164424e-21,1
18,Bayswater North,4.33893129978743e-21,1
19,Beaconsfield - Officer,4.08042164164166e-21,1
20,Beaumaris,4.37019087789646e-21,1
21,Belgrave - Selby,4.18053199191742e-21,1
22,Bentleigh - McKinnon,4.44583270586845e-21,1
23,Bentleigh East (North),4.48555520576875e-21,1
24,Bentleigh East (South),4.37019087789646e-21,1
25,Berwick - North,4.5402506360044e-21,1
26,Berwick - South,4.18070781718681e-21,1
27,Blackburn,4.44583270586845e-21,1
28,Blackburn South,4.48555520576875e-21,1
29,Boronia,4.46526527110156e-21,1
30,Box Hill,4.42351086993873e-21,1
31,Box Hill North,4.42351086993873e-21,1
32,Braeside,2.8280646965215e-18,1
33,Braybrook,4.33893129978743e-21,1
34,Brighton (Vic.),4.48233528113875e-21,1
35,Brighton East,4.48252320937947e-21,1
36,Broadmeadows,4.30444889954952e-21,1
37,Brunswick,4.37019087789646e-21,1
38,Brunswick East,4.26664128845475e-21,1
39,Brunswick West,4.39834217920987e-21,1
40,Bulleen,4.41811681664931e-21,1
41,Bundoora - East,4.48536704522919e-21,1
42,Bundoora - North,4.18053199191742e-21,1
43,Bundoora - West,4.41793135858908e-21,1
44,Bunyip - Garfield,4.26646201322896e-21,1
45,Burnside,4.41793135858908e-21,1
46,Burnside Heights,3.6169391757572e-21,1
47,Burwood,4.39834217920987e-21,1
48,Burwood East,4.48536704522919e-21,1
49,Cairnlea,4.18070781718681e-21,1
50,Camberwell,4.46545251582289e-21,1
51,Campbellfield - Coolaroo,4.48555520576875e-21,1
52,Carlton,4.30426810748442e-21,1
53,Carlton North - Princes Hill,4.26664128845475e-21,1
54,Carnegie,4.42351086993873e-21,1
55,Caroline Springs,4.08059344351535e-21,1
56,Carrum - Patterson Lakes,4.36982402890376e-21,1
57,Carrum Downs,4.39815762279239e-21,1
58,Caulfield - North,4.39815762279239e-21,1
59,Caulfield - South,4.44564624688316e-21,1
60,Chelsea - Bonbeach,4.37019087789646e-21,1
61,Chelsea Heights,4.2416738241918e-21,1
62,Cheltenham - Highett (East),4.44583270586845e-21,1
63,Cheltenham - Highett (West),4.44564624688316e-21,1
64,Chirnside Park,4.45348907753607e-21,1
65,Clarinda - Oakleigh South,4.72539388395118e-21,1
66,Clayton,4.39815762279239e-21,1
67,Clayton South,4.53986994164424e-21,1
68,Coburg,4.39834217920987e-21,1
69,Coburg North,4.33856695716769e-21,1
70,Collingwood,4.22506402912183e-21,1
71,Craigieburn - Central,4.13209935221777e-21,1
72,Craigieburn - North,3.76681350292009e-21,1
73,Craigieburn - South,4.13244711788688e-21,1
74,Craigieburn - West,4.26646201322896e-21,1
75,Cranbourne,4.44564624688316e-21,1
76,Cranbourne East,4.39834217920987e-21,1
77,Cranbourne North,4.22524164268626e-21,1
78,Cranbourne South,4.33838479681458e-21,1
79,Cranbourne West,4.2659242307143e-21,1
80,Croydon - East,4.39834217920987e-21,1
81,Croydon - West,4.42351086993873e-21,1
82,Croydon Hills - Warranwood,4.37019087789646e-21,1
83,Croydon South,4.33704709845954e-21,1
84,Dandenong,4.42351086993873e-21,1
85,Dandenong North,4.5144327439435e-21,1
86,Deer Park - Derrimut,4.37019087789646e-21,1
87,Delahey,4.26664128845475e-21,1
88,Dingley Village,4.72539388395118e-21,1
89,Docklands,3.8366614173113e-21,1
90,Doncaster,4.56314816981462e-21,1
91,Doncaster East (North),4.88099034826779e-21,1
92,Doncaster East (South),4.5402506360044e-21,1
93,Donvale - Park Orchards,5.06381423167308e-21,1
94,Doreen,4.18053199191742e-21,1
95,Doveton,4.37019087789646e-21,1
96,Dromana,4.42313974768457e-21,1
97,East Melbourne,4.39723495163231e-21,1
