,SA2,Cosine similarity
1,Abbotsford,0.992853370647237
2,Airport West,0.973382535743074
3,Albert Park,0.977268636271584
4,Alphington - Fairfield,0.973854356413946
5,Altona,0.966382982136372
6,Altona Meadows,0.973272636126451
7,Altona North,0.974918450052115
8,Ardeer - Albion,0.984330549950754
9,Armadale,0.983637852085071
10,Ascot Vale,0.982505138424368
11,Ashburton (Vic.),0.946607948596512
12,Ashwood - Chadstone,0.975488281031535
13,Aspendale Gardens - Waterways,0.963907826982397
14,Bacchus Marsh,0.970634153228009
15,Balwyn,0.957325555684726
16,Balwyn North,0.945847080370666
17,Bayswater,0.975274871077227
18,Bayswater North,0.969457101991211
19,Beaconsfield - Officer,0.98015699383777
20,Beaumaris,0.926937034082349
21,Belgrave - Selby,0.961094180832128
22,Bentleigh - McKinnon,0.959079281331791
23,Bentleigh East (North),0.953640074115704
24,Bentleigh East (South),0.960048232645204
25,Berwick - North,0.963337456575149
26,Berwick - South,0.978035904244537
27,Blackburn,0.961695924652437
28,Blackburn South,0.951873218634206
29,Boronia,0.972094345623682
30,Box Hill,0.982396802778253
31,Box Hill North,0.962118262861876
32,Braeside,0.470660212441064
33,Braybrook,0.986264860959984
34,Brighton (Vic.),0.949517454665239
35,Brighton East,0.935610739543992
36,Broadmeadows,0.983184319968119
37,Brunswick,0.994540320065238
38,Brunswick East,0.993861356071421
39,Brunswick West,0.988030174869401
40,Bulleen,0.955069424085574
41,Bundoora - East,0.965950745541987
42,Bundoora - North,0.977931061937136
43,Bundoora - West,0.966185915559208
44,Bunyip - Garfield,0.962812043261826
45,Burnside,0.964095625723483
46,Burnside Heights,0.981561251531769
47,Burwood,0.982398065899694
48,Burwood East,0.959264499667811
49,Cairnlea,0.979262875301737
50,Camberwell,0.954752314268862
51,Campbellfield - Coolaroo,0.977214556255287
52,Carlton,0.998120788797714
53,Carlton North - Princes Hill,0.987401582298053
54,Carnegie,0.984843232036279
55,Caroline Springs,0.982213440106009
56,Carrum - Patterson Lakes,0.960602725877816
57,Carrum Downs,0.975803695227789
