"","start_error%","end_error%"
"Brunswick",5.71818143082364,1.46576334739444
"Brunswick East",5.83050847457627,1.42372881355932
"Brunswick West",3.93874812534533,1.94964085563186
"Coburg",4.93139628732849,2.86117836965295
"Pascoe Vale South",3.21397756686799,2.27566867989646
"Alphington - Fairfield",4.5069750804817,2.28925718373674
"Northcote",4.53287653182237,1.90187552158826
"Thornbury",4.41998602375961,2.28278593058467
"Ascot Vale",4.2429526300494,2.25225225225225
"Essendon - Aberfeldie",3.42304983960566,2.58586965026211
"Flemington",3.57866306549629,1.94688273688949
"Moonee Ponds",4.30535727703058,2.27665489518371
"Carlton",4.16451779267664,0.593089221248066
"Docklands",4.40788779921966,0.843614889802805
"East Melbourne",5.02944062806673,1.61923454367027
"Flemington Racecourse",13.4615384615385,5.76923076923077
"Kensington (Vic.)",3.84033867553674,1.03820179417397
"Melbourne",5.62316669787181,-0.124820570430007
"North Melbourne",5.04391033048301,0.970649410677143
"Parkville",6.27975515756064,1.76830650646112
"South Yarra - West",3.32132853141256,0.900360144057623
"Southbank",6.18427641462193,0.7135703555333
"West Melbourne",NA,NA
"Albert Park",4.50541516245487,1.86281588447653
"Elwood",4.51105937136205,1.54976717112922
"Port Melbourne",4.08845812572521,2.34113712374582
"Port Melbourne Industrial",40,-60
"South Melbourne",4.55214362797999,1.45197684685569
"St Kilda",4.16861826697892,0.819672131147541
"St Kilda East",4.33895538628945,0.748095756256801
"Armadale",3.85836385836386,1.77045177045177
"Prahran - Windsor",5.40964555490994,1.45845438698431
"South Yarra - East",4.49432066404543,1.14678899082569
"Toorak",5.50527277256498,3.39616374657477
"Abbotsford",5.17407458373469,1.2384752992982
"Carlton North - Princes Hill",6.03524787625206,1.45809560035501
"Collingwood",4.99598178408786,0.696490758103402
"Fitzroy",5.84082887396106,2.09495616531937
"Fitzroy North",5.60049782202862,1.58236287670015
"Richmond (Vic.)",4.73630684294639,1.26761586517507
"Yarra - North",5.78986773146993,1.6346393810831
"Ashburton (Vic.)",3.31143951833607,2.8735632183908
"Balwyn",4.50833278002789,3.77132992497178
"Balwyn North",4.57446265380099,3.89033542655843
"Camberwell",3.99597382989431,3.16557624559638
"Glen Iris - East",4.01365274002907,2.95177295998989
"Hawthorn",4.68229040831119,1.62841266006282
"Hawthorn East",3.98779535939828,2.15709926914071
