SA2,APD,APD%,Population size
Abbotsford,0.108876005815281,10.8876005815281,99.8289346
Airport West,0.221167449645679,22.1167449645679,100.6083048
Albert Park,0.189006879513881,18.9006879513881,99.9869987
Alphington - Fairfield,0.180136557796567,18.0136557796567,99.9999999
Altona,0.209263958185143,20.9263958185143,100.1182497
Altona Meadows,0.226566243771034,22.6566243771034,99.9791215
Altona North,0.189303765603995,18.9303765603995,99.8714654
Ardeer - Albion,0.165397835464594,16.5397835464594,99.5661053
Armadale,0.194655761492595,19.4655761492595,99.7883014
Ascot Vale,0.179759380733891,17.975938073389,99.9389624
Ashburton (Vic.),0.304327657278728,30.4327657278728,100.1676775
Ashwood - Chadstone,0.204752966814287,20.4752966814287,99.9398875
Aspendale Gardens - Waterways,0.27170576858588,27.170576858588,100.1223719
Bacchus Marsh,0.236312132028681,23.6312132028681,100.319489
Balwyn,0.282013577939432,28.2013577939432,100.1073641
Balwyn North,0.298672563415097,29.8672563415097,99.9109881
Bayswater,0.209244028686678,20.9244028686678,99.950323
Bayswater North,0.245988903705656,24.5988903705656,99.4989807
Beaconsfield - Officer,0.219980441219347,21.9980441219347,99.9692902
Beaumaris,0.328940346624847,32.8940346624847,99.9183614
Belgrave - Selby,0.270758114074003,27.0758114074003,100.0698885
Bentleigh East (North),0.265662512371776,26.5662512371776,100.202936
Bentleigh East (South),0.256195811366646,25.6195811366646,99.8337991
Bentleigh - McKinnon,0.263108059471631,26.3108059471631,99.9955392
Berwick - North,0.257646196162809,25.7646196162809,99.9825302
Berwick - South,0.211716676932802,21.1716676932802,100.0426358
Blackburn,0.252701026816036,25.2701026816036,99.915821
Blackburn South,0.282564395549134,28.2564395549134,99.759103
Boronia,0.220863867488923,22.0863867488923,100.1357898
Box Hill,0.200339964079046,20.0339964079046,99.9697462
Box Hill North,0.237427659098637,23.7427659098636,100.0227935
Braeside,1.39639640070368,139.639640070368,60.6557376
Braybrook,0.164444389008487,16.4444389008487,99.923212
Brighton East,0.326782658617389,32.6782658617389,100.1136792
Brighton (Vic.),0.291249402314933,29.1249402314933,99.9823741
Broadmeadows,0.188195061369813,18.8195061369813,100.2179631
Brunswick,0.109733795579926,10.9733795579926,100.0157252
Brunswick East,0.105525323674409,10.5525323674409,100.0729599
Brunswick West,0.157938566251009,15.7938566251009,99.8907583
Bulleen,0.246342109492783,24.6342109492783,99.9909457
Bundoora - East,0.226094465302312,22.6094465302312,99.9696909
Bundoora - North,0.228974392048303,22.8974392048303,99.9463012
Bundoora - West,0.233418734927337,23.3418734927337,100.2100166
Bunyip - Garfield,0.260653040326142,26.0653040326142,100.2893515
Burnside,0.296650500852571,29.6650500852571,100.2526844
Burnside Heights,0.157660733368524,15.7660733368524,99.8023391
Burwood,0.195846577692822,19.5846577692822,100.1061483
Burwood East,0.261527855696021,26.1527855696021,99.9318331
Cairnlea,0.187735900145976,18.7735900145976,99.9586008
Camberwell,0.302355271377866,30.2355271377866,99.9158798
Campbellfield - Coolaroo,0.208450641857631,20.8450641857631,100.0000003
Carlton,0.0838401552959036,8.38401552959036,100.1105374
Carlton North - Princes Hill,0.173285280161692,17.3285280161692,99.8575835
Carnegie,0.165336014939669,16.5336014939669,99.9999996
Caroline Springs,0.191005569919533,19.1005569919533,100.0703523
Carrum Downs,0.200306250043161,20.0306250043161,99.9034425
Carrum - Patterson Lakes,0.257112992899355,25.7112992899355,99.7921541
Caulfield - North,0.223213921601362,22.3213921601362,99.8093424
Caulfield - South,0.260275279439459,26.0275279439459,99.9083197
Chelsea - Bonbeach,0.214539338503471,21.4539338503471,99.9365795
