,V1,V2,V3,V4,V5
1,0,7267,0,7267,0
2,0,7066,0,7066,0
3,0,13850,0,13850,0
4,0,8387,0,8387,0
5,0,12038,0,12038,0
6,0,18066,0,18066,0
7,0,12787,0,12787,0
8,0,7080,0,7080,0
9,0,8190,0,8190,0
10,0,13764,0,13764,0
11,0,7308,0,7308,0
12,0,16843,0,16843,0
13,0,8694,0,8694,0
14,0,19073,0,19073,0
15,0,15061,0,15061,0
16,0,19587,0,19587,0
17,0,11294,0,11294,0
18,0,10885,0,10885,0
19,0,12448,0,12448,0
20,0,12863,0,12863,0
21,0,9389,0,9389,0
22,0,14168,0,14168,0
23,0,12558,0,12558,0
24,0,21410,0,21410,0
25,0,21572,0,21572,0
26,0,25200,0,25200,0
27,0,20308,0,20308,0
28,0,10101,0,10101,0
29,0,20569,0,20569,0
30,0,18627,0,18627,0
31,0,16861,0,16861,0
32,0,12,0,12,0
33,0,16876,0,16876,0
34,0,14808,0,14808,0
35,0,20788,0,20788,0
36,0,11828,0,11828,0
37,0,23469,0,23469,0
38,0,10325,0,10325,0
39,0,12669,0,12669,0
40,0,10520,0,10520,0
41,0,9262,0,9262,0
42,0,7005,0,7005,0
43,0,5881,0,5881,0
44,0,7979,0,7979,0
45,0,4453,0,4453,0
46,0,5793,0,5793,0
47,0,11237,0,11237,0
48,0,9801,0,9801,0
49,0,9326,0,9326,0
50,0,19870,0,19870,0
51,0,14897,0,14897,0
52,0,15512,0,15512,0
53,0,7887,0,7887,0
54,0,16858,0,16858,0
55,0,18862,0,18862,0
56,0,19108,0,19108,0
57,0,10757,0,10757,0
58,0,19261,0,19261,0
59,0,16375,0,16375,0
60,0,12923,0,12923,0
61,0,5238,0,5238,0
62,0,20924,0,20924,0
63,0,10230,0,10230,0
64,0,9377,0,9377,0
65,0,10986,0,10986,0
66,0,18603,0,18603,0
67,0,12024,0,12024,0
68,0,24780,0,24780,0
69,0,6998,0,6998,0
70,0,7466,0,7466,0
71,0,7886,0,7886,0
72,0,11029,0,11029,0
73,0,15424,0,15424,0
74,0,13413,0,13413,0
75,0,18615,0,18615,0
76,0,24408,0,24408,0
77,0,19066,0,19066,0
78,0,8156,0,8156,0
79,0,14196,0,14196,0
80,0,13991,0,13991,0
81,0,17146,0,17146,0
82,0,4512,0,4512,0
83,0,12500,0,12500,0
84,0,27555,0,27555,0
85,0,21231,0,21231,0
86,0,24543,0,24543,0
87,0,7839,0,7839,0
88,0,9821,0,9821,0
89,0,9483,0,9483,0
90,0,19927,0,19927,0
91,0,14097,0,14097,0
92,0,13214,0,13214,0
93,0,15133,0,15133,0
94,0,20253,0,20253,0
95,0,10315,0,10315,0
96,0,9857,0,9857,0
97,0,4076,0,4076,0
98,0,11792,0,11792,0
99,0,10585,0,10585,0
100,0,21999,0,21999,0
101,0,13744,0,13744,0
102,0,16646,0,16646,0
103,0,11293,0,11293,0
104,0,12833,0,12833,0
105,0,12333,0,12333,0
106,0,7750,0,7750,0
107,0,10371,0,10371,0
108,0,25562,0,25562,0
109,0,12718,0,12718,0
110,0,12959,0,12959,0
111,0,13977,0,13977,0
112,0,8783,0,8783,0
113,0,11249,0,11249,0
114,0,8886,0,8886,0
115,0,52,0,52,0
116,0,4714,0,4714,0
117,0,14402,0,14402,0
118,0,10089,0,10089,0
119,0,20371,0,20371,0
120,0,17524,0,17524,0
121,0,17035,0,17035,0
122,0,11992,0,11992,0
123,0,16488,0,16488,0
124,0,15821,0,15821,0
125,0,20359,0,20359,0
126,0,20434,0,20434,0
127,0,18273,0,18273,0
128,0,2697,0,2697,0
129,0,19434,0,19434,0
130,0,15591,0,15591,0
131,0,5308,0,5308,0
132,0,10012,0,10012,0
133,0,16664,0,16664,0
134,0,24037,0,24037,0
135,0,19508,0,19508,0
136,0,20695,0,20695,0
137,0,14093,0,14093,0
138,0,12422,0,12422,0
139,0,13691,0,13691,0
140,0,12586,0,12586,0
141,0,19409,0,19409,0
142,0,18126,0,18126,0
143,0,18392,0,18392,0
144,0,7122,0,7122,0
