SA2,APD,APD%,Population size
Abbotsford,0,0,3552
Airport West,0,0,3004
Albert Park,0,0,6476
Alphington - Fairfield,0,0,3456
Altona,0,0,5150
Altona Meadows,0,0,6884
Altona North,0,0,5063
Ardeer - Albion,0,0,2857
Armadale,0,0,3813
Ascot Vale,0,0,5697
Ashburton (Vic.),0,0,2576
Ashwood - Chadstone,0,0,6482
Aspendale Gardens - Waterways,0,0,2770
Bacchus Marsh,0,0,7101
Balwyn,0,0,5704
Balwyn North,0,0,6596
Bayswater,0,0,4586
Bayswater North,0,0,4121
Beaconsfield - Officer,0,0,4226
Beaumaris,0,0,4734
Belgrave - Selby,0,0,3296
Bentleigh East (North),0,0,5102
Bentleigh East (South),0,0,4689
Bentleigh - McKinnon,0,0,7975
Berwick - North,0,0,8122
Berwick - South,0,0,7661
Blackburn,0,0,7605
Blackburn South,0,0,3796
Boronia,0,0,8509
Box Hill,0,0,7477
Box Hill North,0,0,6301
Braeside,0,0,9
Braybrook,0,0,6170
Brighton East,0,0,5455
Brighton (Vic.),0,0,8267
Broadmeadows,0,0,4102
Brunswick,0,0,10544
Brunswick East,0,0,4763
Brunswick West,0,0,5708
Bulleen,0,0,3979
Bundoora - East,0,0,3379
Bundoora - North,0,0,2491
Bundoora - West,0,0,2279
Bunyip - Garfield,0,0,2825
Burnside,0,0,1461
Burnside Heights,0,0,1620
Burwood,0,0,4320
Burwood East,0,0,3628
Cairnlea,0,0,2550
Camberwell,0,0,7337
Campbellfield - Coolaroo,0,0,4724
Carlton,0,0,8262
Carlton North - Princes Hill,0,0,3458
Carnegie,0,0,7246
Caroline Springs,0,0,5943
Carrum Downs,0,0,7341
Carrum - Patterson Lakes,0,0,4468
Caulfield - North,0,0,7587
Caulfield - South,0,0,6354
Chelsea - Bonbeach,0,0,5879
Chelsea Heights,0,0,1940
Cheltenham - Highett (East),0,0,8670
Cheltenham - Highett (West),0,0,4076
Chirnside Park,0,0,3349
Clarinda - Oakleigh South,0,0,3884
Clayton,0,0,6986
Clayton South,0,0,4275
Coburg,0,0,9606
Coburg North,0,0,2751
Collingwood,0,0,3729
Craigieburn - Central,0,0,2542
Craigieburn - North,0,0,3127
Craigieburn - South,0,0,4730
Craigieburn - West,0,0,4096
Cranbourne,0,0,6729
Cranbourne East,0,0,7843
Cranbourne North,0,0,5955
Cranbourne South,0,0,2763
Cranbourne West,0,0,4613
Croydon - East,0,0,5996
Croydon Hills - Warranwood,0,0,5790
Croydon South,0,0,1701
Croydon - West,0,0,5039
Dandenong,0,0,9794
Dandenong North,0,0,7399
Deer Park - Derrimut,0,0,7864
Delahey,0,0,2621
Dingley Village,0,0,3621
Docklands,0,0,4646
Doncaster,0,0,7822
Doncaster East (North),0,0,4722
Doncaster East (South),0,0,5096
Donvale - Park Orchards,0,0,5219
Doreen,0,0,6597
Doveton,0,0,3757
Dromana,0,0,4374
East Melbourne,0,0,2168
Edithvale - Aspendale,0,0,4576
Elsternwick,0,0,4474
Eltham,0,0,7619
Elwood,0,0,6905
Emerald - Cockatoo,0,0,5764
Endeavour Hills - North,0,0,3711
Endeavour Hills - South,0,0,4259
Epping - East,0,0,4105
Epping - South,0,0,2796
Epping - West,0,0,3179
Essendon - Aberfeldie,0,0,10304
Fawkner,0,0,4414
Ferntree Gully (North),0,0,5239
Ferntree Gully (South) - Upper Ferntree Gully,0,0,5081
Fitzroy,0,0,4123
Fitzroy North,0,0,5070
Flemington,0,0,4067
Flemington Racecourse,0,0,23
Flinders,0,0,1892
Footscray,0,0,6455
Forest Hill,0,0,3931
Frankston,0,0,9230
Frankston North,0,0,7410
Frankston South,0,0,6507
Gisborne,0,0,4189
Gladstone Park - Westmeadows,0,0,6057
Glen Iris - East,0,0,5619
Glenroy,0,0,7775
Glen Waverley - East,0,0,7069
Glen Waverley - West,0,0,6386
Gowanbrae,0,0,1006
Greensborough,0,0,7319
Greenvale - Bulla,0,0,4660
Hadfield,0,0,2091
Hallam,0,0,3324
Hampton,0,0,6372
Hampton Park - Lynbrook,0,0,7496
Hastings - Somers,0,0,7968
Hawthorn,0,0,9464
Hawthorn East,0,0,6039
Healesville - Yarra Glen,0,0,4951
Heidelberg - Rosanna,0,0,5531
Heidelberg West,0,0,5201
Hillside,0,0,6000
Hoppers Crossing - North,0,0,6042
Hoppers Crossing - South,0,0,6395
Hughesdale,0,0,2745
Hurstbridge,0,0,1128
Ivanhoe,0,0,4321
Ivanhoe East - Eaglemont,0,0,2666
Keilor,0,0,2996
Keilor Downs,0,0,4344
Keilor East,0,0,9206
Kensington (Vic.),0,0,4471
Kew,0,0,8713
Kew East,0,0,2206
Keysborough,0,0,7853
Kilsyth,0,0,3361
Kinglake,0,0,1299
Kingsbury,0,0,3327
Kings Park (Vic.),0,0,4353
Knoxfield - Scoresby,0,0,5125
Koo Wee Rup,0,0,2505
Lalor,0,0,7530
Langwarrin,0,0,8279
Laverton,0,0,2833
Lilydale - Coldstream,0,0,6651
Lynbrook - Lyndhurst,0,0,4038
Lysterfield,0,0,1918
Macedon,0,0,1153
Malvern East,0,0,7640
Malvern - Glen Iris,0,0,7753
Maribyrnong,0,0,4391
Meadow Heights,0,0,4141
Melbourne,0,0,16255
Melbourne Airport,0,0,17
