SA2,p-value
mu= 2,Equivalent (0 - no, 1 - yes )
alpha=0.05
confidence=90%
Abbotsford,NA,NA
Airport West,NA,NA
Albert Park,NA,NA
Alphington - Fairfield,NA,NA
Altona,NA,NA
Altona Meadows,NA,NA
Altona North,NA,NA
Ardeer - Albion,NA,NA
Armadale,NA,NA
Ascot Vale,NA,NA
Ashburton (Vic.),NA,NA
Ashwood - Chadstone,NA,NA
Aspendale Gardens - Waterways,NA,NA
Bacchus Marsh,NA,NA
Balwyn,NA,NA
Balwyn North,NA,NA
Bayswater,NA,NA
Bayswater North,NA,NA
Beaconsfield - Officer,NA,NA
Beaumaris,NA,NA
Belgrave - Selby,NA,NA
Bentleigh - McKinnon,NA,NA
Bentleigh East (North),NA,NA
Bentleigh East (South),NA,NA
Berwick - North,NA,NA
Berwick - South,NA,NA
Blackburn,NA,NA
Blackburn South,NA,NA
Boronia,NA,NA
Box Hill,NA,NA
Box Hill North,NA,NA
Braeside,NA,NA
Braybrook,NA,NA
Brighton (Vic.),NA,NA
Brighton East,NA,NA
Broadmeadows,NA,NA
Brunswick,NA,NA
Brunswick East,NA,NA
Brunswick West,NA,NA
Bulleen,NA,NA
Bundoora - East,NA,NA
Bundoora - North,NA,NA
Bundoora - West,NA,NA
Bunyip - Garfield,NA,NA
Burnside,NA,NA
Burnside Heights,NA,NA
Burwood,NA,NA
Burwood East,NA,NA
Cairnlea,NA,NA
Camberwell,NA,NA
Campbellfield - Coolaroo,NA,NA
Carlton,NA,NA
Carlton North - Princes Hill,NA,NA
Carnegie,NA,NA
Caroline Springs,NA,NA
Carrum - Patterson Lakes,NA,NA
Carrum Downs,NA,NA
Caulfield - North,NA,NA
Caulfield - South,NA,NA
Chelsea - Bonbeach,NA,NA
Chelsea Heights,NA,NA
Cheltenham - Highett (East),NA,NA
Cheltenham - Highett (West),NA,NA
Chirnside Park,NA,NA
Clarinda - Oakleigh South,NA,NA
Clayton,NA,NA
Clayton South,NA,NA
Coburg,NA,NA
Coburg North,NA,NA
Collingwood,NA,NA
Craigieburn - Central,NA,NA
Craigieburn - North,NA,NA
Craigieburn - South,NA,NA
Craigieburn - West,NA,NA
Cranbourne,NA,NA
Cranbourne East,NA,NA
Cranbourne North,NA,NA
Cranbourne South,NA,NA
Cranbourne West,NA,NA
Croydon - East,NA,NA
Croydon - West,NA,NA
Croydon Hills - Warranwood,NA,NA
Croydon South,NA,NA
Dandenong,NA,NA
Dandenong North,NA,NA
Deer Park - Derrimut,NA,NA
Delahey,NA,NA
Dingley Village,NA,NA
Docklands,NA,NA
Doncaster,NA,NA
Doncaster East (North),NA,NA
Doncaster East (South),NA,NA
Donvale - Park Orchards,NA,NA
Doreen,NA,NA
Doveton,NA,NA
Dromana,NA,NA
East Melbourne,NA,NA
Edithvale - Aspendale,NA,NA
Elsternwick,NA,NA
Eltham,NA,NA
Elwood,NA,NA
Emerald - Cockatoo,NA,NA
Endeavour Hills - North,NA,NA
Endeavour Hills - South,NA,NA
Epping - East,NA,NA
Epping - South,NA,NA
Epping - West,NA,NA
Essendon - Aberfeldie,NA,NA
Fawkner,NA,NA
Ferntree Gully (North),NA,NA
Ferntree Gully (South) - Upper Ferntree Gully,NA,NA
Fitzroy,NA,NA
Fitzroy North,NA,NA
Flemington,NA,NA
Flemington Racecourse,NA,NA
Flinders,NA,NA
Footscray,NA,NA
Forest Hill,NA,NA
Frankston,NA,NA
Frankston North,NA,NA
Frankston South,NA,NA
Gisborne,NA,NA
Gladstone Park - Westmeadows,NA,NA
Glen Iris - East,NA,NA
Glen Waverley - East,NA,NA
Glen Waverley - West,NA,NA
Glenroy,NA,NA
Gowanbrae,NA,NA
Greensborough,NA,NA
Greenvale - Bulla,NA,NA
Hadfield,NA,NA
Hallam,NA,NA
Hampton,NA,NA
Hampton Park - Lynbrook,NA,NA
Hastings - Somers,NA,NA
Hawthorn,NA,NA
Hawthorn East,NA,NA
Healesville - Yarra Glen,NA,NA
Heidelberg - Rosanna,NA,NA
Heidelberg West,NA,NA
Hillside,NA,NA
Hoppers Crossing - North,NA,NA
Hoppers Crossing - South,NA,NA
Hughesdale,NA,NA
Hurstbridge,NA,NA
Ivanhoe,NA,NA
Ivanhoe East - Eaglemont,NA,NA
Keilor,NA,NA
Keilor Downs,NA,NA
Keilor East,NA,NA
Kensington (Vic.),NA,NA
Kew,NA,NA
Kew East,NA,NA
Keysborough,NA,NA
Kilsyth,NA,NA
Kinglake,NA,NA
Kings Park (Vic.),NA,NA
Kingsbury,NA,NA
Knoxfield - Scoresby,NA,NA
Koo Wee Rup,NA,NA
Lalor,NA,NA
Langwarrin,NA,NA
Laverton,NA,NA
Lilydale - Coldstream,NA,NA
Lynbrook - Lyndhurst,NA,NA
Lysterfield,NA,NA
Macedon,NA,NA
Malvern - Glen Iris,NA,NA
Malvern East,NA,NA
Maribyrnong,NA,NA
Meadow Heights,NA,NA
Melbourne,NA,NA
Melbourne Airport,NA,NA
Melton,NA,NA
Melton South,NA,NA
Melton West,NA,NA
Mentone,NA,NA
Mernda,NA,NA
Mickleham - Yuroke,NA,NA
Mill Park - North,NA,NA
Mill Park - South,NA,NA
Mitcham (Vic.),NA,NA
Monbulk - Silvan,NA,NA
Montmorency - Briar Hill,NA,NA
Montrose,NA,NA
Moonee Ponds,NA,NA
Moorabbin - Heatherton,NA,NA
Mooroolbark,NA,NA
Mordialloc - Parkdale,NA,NA
Mornington,NA,NA
Mount Dandenong - Olinda,NA,NA
Mount Eliza,NA,NA
Mount Evelyn,NA,NA
Mount Martha,NA,NA
Mount Waverley - North,NA,NA
Mount Waverley - South,NA,NA
Mulgrave,NA,NA
Murrumbeena,NA,NA
Narre Warren - North East,NA,NA
Narre Warren - South West,NA,NA
Narre Warren North,NA,NA
Narre Warren South (East),NA,NA
Narre Warren South (West),NA,NA
Newport,NA,NA
Niddrie - Essendon West,NA,NA
Noble Park - East,NA,NA
Noble Park - West,NA,NA
Noble Park North,NA,NA
North Melbourne,NA,NA
Northcote,NA,NA
Nunawading,NA,NA
Oakleigh - Huntingdale,NA,NA
Ormond - Glen Huntly,NA,NA
Pakenham - North,NA,NA
Pakenham - South,NA,NA
Panton Hill - St Andrews,NA,NA
Parkville,NA,NA
Pascoe Vale,NA,NA
Pascoe Vale South,NA,NA
Pearcedale - Tooradin,NA,NA
Plenty - Yarrambat,NA,NA
Point Cook - East,NA,NA
Point Cook - North,NA,NA
Point Cook - South,NA,NA
Point Nepean,NA,NA
Port Melbourne,NA,NA
Port Melbourne Industrial,NA,NA
Prahran - Windsor,NA,NA
Preston - East,NA,NA
Preston - West,NA,NA
Research - North Warrandyte,NA,NA
Reservoir - East,NA,NA
Reservoir - West,NA,NA
Richmond (Vic.),NA,NA
Riddells Creek,NA,NA
Ringwood,NA,NA
Ringwood East,NA,NA
Ringwood North,NA,NA
Rockbank - Mount Cottrell,NA,NA
Romsey,NA,NA
Rosebud - McCrae,NA,NA
Rowville - Central,NA,NA
Rowville - North,NA,NA
Rowville - South,NA,NA
Roxburgh Park - Somerton,NA,NA
Sandringham - Black Rock,NA,NA
Seabrook,NA,NA
Seaford (Vic.),NA,NA
Seddon - Kingsville,NA,NA
Skye - Sandhurst,NA,NA
Somerville,NA,NA
South Melbourne,NA,NA
South Morang (North),NA,NA
