SA2,KLD
Abbotsford,0
Airport West,0
Albert Park,0
Alphington - Fairfield,0
Altona,0
Altona Meadows,0
Altona North,0
Ardeer - Albion,0
Armadale,0
Ascot Vale,0
Ashburton (Vic.),0
Ashwood - Chadstone,0
Aspendale Gardens - Waterways,0
Bacchus Marsh,0
Balwyn,0
Balwyn North,0
Bayswater,0
Bayswater North,0
Beaconsfield - Officer,0
Beaumaris,0
Belgrave - Selby,0
Bentleigh - McKinnon,0
Bentleigh East,0
Berwick - North,0
Berwick - South,0
Blackburn,0
Blackburn South,0
Boronia - The Basin,0
Box Hill,0
Box Hill North,0
Braeside,0
Braybrook,0
Brighton (Vic.),0
Brighton East,0
Broadmeadows,0
Brunswick,0
Brunswick East,0
Brunswick West,0
Bulleen,0
Bundoora - East,0
Bundoora - North,0
Bundoora - West,0
Bunyip - Garfield,0
Burwood,0
Burwood East,0
Cairnlea,0
Camberwell,0
Campbellfield - Coolaroo,0
Carlton,0
Carlton North - Princes Hill,0
Carnegie,0
Caroline Springs,0
Carrum - Patterson Lakes,0
Carrum Downs,0
Caulfield - North,0
Caulfield - South,0
Chelsea - Bonbeach,0
Chelsea Heights,0
Cheltenham - Highett (East),0
Cheltenham - Highett (West),0
Chirnside Park,0
Clarinda - Oakleigh South,0
Clayton,0
Clayton South,0
Coburg,0
Coburg North,0
Collingwood,0
Craigieburn - Mickleham,0
Cranbourne,0
Cranbourne East,0
Cranbourne North,0
Cranbourne South,0
Cranbourne West,0
Croydon,0
Croydon Hills - Warranwood,0
Dandenong,0
Dandenong North,0
Deer Park - Derrimut,0
Delahey,0
Dingley Village,0
Docklands,0
Doncaster,0
Doncaster East,0
Donvale - Park Orchards,0
Doveton,0
Dromana,0
East Melbourne,0
Edithvale - Aspendale,0
Elsternwick,0
Eltham,0
Elwood,0
Emerald - Cockatoo,0
Endeavour Hills,0
Epping,0
Essendon - Aberfeldie,0
Fawkner,0
Ferntree Gully,0
Fitzroy,0
Fitzroy North,0
Flemington,0
Flemington Racecourse,0
Flinders,0
Footscray,0
Forest Hill,0
Frankston,0
Frankston North,0
Frankston South,0
Gisborne,0
Gladstone Park - Westmeadows,0
Glen Iris - East,0
Glen Waverley - East,0
Glen Waverley - West,0
Glenroy - Hadfield,0
Greensborough,0
Greenvale - Bulla,0
Hallam,0
Hampton,0
Hampton Park - Lynbrook,0
Hastings - Somers,0
Hawthorn,0
Hawthorn East,0
Healesville - Yarra Glen,0
Heidelberg - Rosanna,0
