V1;V2;V3;V4;V5
0;27932;0;27932;0
0;43262;0;43262;0
0;96459;0;96459;0
0;49879;0;49879;0
0;76485;0;76485;0
0;98835;0;98835;0
0;72179;0;72179;0
0;41639;0;41639;0
0;59811;0;59811;0
0;80512;0;80512;0
0;37988;0;37988;0
0;88069;0;88069;0
0;37814;0;37814;0
0;90899;0;90899;0
0;83879;0;83879;0
0;97468;0;97468;0
0;65681;0;65681;0
0;61023;0;61023;0
0;36538;0;36538;0
0;68414;0;68414;0
0;48973;0;48973;0
0;113685;0;113685;0
0;139076;0;139076;0
0;115992;0;115992;0
0;97064;0;97064;0
0;107241;0;107241;0
0;57336;0;57336;0
0;146132;0;146132;0
0;97200;0;97200;0
0;91138;0;91138;0
0;54;0;54;0
0;78153;0;78153;0
0;116860;0;116860;0
0;79079;0;79079;0
0;55301;0;55301;0
0;140658;0;140658;0
0;54243;0;54243;0
0;85436;0;85436;0
0;60386;0;60386;0
0;49886;0;49886;0
0;25177;0;25177;0
0;32732;0;32732;0
0;40940;0;40940;0
0;58420;0;58420;0
0;54134;0;54134;0
0;32957;0;32957;0
0;101089;0;101089;0
0;69750;0;69750;0
0;100688;0;100688;0
0;52596;0;52596;0
0;103771;0;103771;0
0;113270;0;113270;0
0;67284;0;67284;0
0;99678;0;99678;0
0;110764;0;110764;0
0;91571;0;91571;0
0;87704;0;87704;0
0;26925;0;26925;0
0;122509;0;122509;0
0;57822;0;57822;0
0;46796;0;46796;0
0;55849;0;55849;0
0;84407;0;84407;0
0;58329;0;58329;0
0;135673;0;135673;0
0;36470;0;36470;0
0;42758;0;42758;0
0;148422;0;148422;0
0;98054;0;98054;0
0;39572;0;39572;0
0;66898;0;66898;0
0;32765;0;32765;0
0;39928;0;39928;0
0;181585;0;181585;0
0;81095;0;81095;0
0;135539;0;135539;0
0;108902;0;108902;0
0;103022;0;103022;0
0;35875;0;35875;0
0;55083;0;55083;0
0;40386;0;40386;0
0;104634;0;104634;0
0;138838;0;138838;0
0;74706;0;74706;0
0;53399;0;53399;0
0;58590;0;58590;0
0;36690;0;36690;0
0;66727;0;66727;0
0;64104;0;64104;0
0;108745;0;108745;0
0;107128;0;107128;0
0;83897;0;83897;0
0;114241;0;114241;0
0;123800;0;123800;0
0;140399;0;140399;0
0;64841;0;64841;0
