SA2;KLD
Abbotsford;4.95698294572511e-05
Airport West;0.000201451676602016
Albert Park;0.000205634802309057
Alphington - Fairfield;0.000116421065964317
Altona;0.000345607331934457
Altona Meadows;0.000490451674543284
Altona North;9.83292571025012e-05
Ardeer - Albion;0.000100817523047172
Armadale;0.00013953675541168
Ascot Vale;0.000316139948908459
Ashburton (Vic.);0.000199825319567966
Ashwood - Chadstone;0.000187249168543152
Aspendale Gardens - Waterways;0.00039329890386766
Bacchus Marsh;0.000163651224604294
Balwyn;0.000414673541953488
Balwyn North;0.000324947236825151
Bayswater;0.000193330961061193
Bayswater North;0.000331511041785425
Beaconsfield - Officer;0.000373999839921139
Beaumaris;0.000285235539184171
Belgrave - Selby;0.000488530196740786
Bentleigh - McKinnon;0.000225093688069556
Bentleigh East;0.000241127198775054
Berwick - North;0.000268710840007479
Berwick - South;0.000202282719853143
Blackburn;0.000147568459965456
Blackburn South;0.000166898361863852
Boronia - The Basin;0.000256404051495504
Box Hill;0.000198704066431808
Box Hill North;0.000150901790606931
Braeside;4.45626091513083
Braybrook;9.47580145518372e-05
Brighton (Vic.);0.000488781060501243
Brighton East;0.000295908371545673
Broadmeadows;7.14967174788002e-05
Brunswick;0.000103179599090925
Brunswick East;0.000112402858123643
Brunswick West;0.000160595929897451
Bulleen;0.000370332429658988
Bundoora - East;0.000147817057780731
Bundoora - North;0.000566213546510796
Bundoora - West;0.000206792766884483
Bunyip - Garfield;3.77489371244484e-05
Burwood;8.13548008518501e-05
Burwood East;0.000122332003794449
Cairnlea;0.000157144525612864
Camberwell;0.000335705035369956
Campbellfield - Coolaroo;5.24663296788271e-05
Carlton;6.07689381522811e-06
Carlton North - Princes Hill;0.000101921433542316
Carnegie;5.10079266389754e-05
Caroline Springs;0.000369782337335152
Carrum - Patterson Lakes;0.000217782052421207
Carrum Downs;0.000209440543027644
Caulfield - North;0.000215346524154798
Caulfield - South;0.000222460103006581
Chelsea - Bonbeach;0.000275915639726325
Chelsea Heights;0.000497176399185916
Cheltenham - Highett (East);0.000159816877597732
Cheltenham - Highett (West);0.000249901334432529
Chirnside Park;0.000416416622262319
Clarinda - Oakleigh South;0.000243261951462372
Clayton;9.0848086336545e-05
