SA2,JSD
Abbotsford,3.03159279642812e-06
Airport West,0.000147979549420841
Albert Park,6.99338366861786e-05
Alphington - Fairfield,5.79179846375132e-05
Altona,1.85782655501862e-05
Altona Meadows,4.55074400186242e-05
Altona North,0.000156163639312144
Ardeer - Albion,3.15165039294703e-06
Armadale,2.57224176693467e-05
Ascot Vale,6.12171386907704e-06
Ashburton (Vic.),0.000135967194024394
Ashwood - Chadstone,3.16816439573854e-06
Aspendale Gardens - Waterways,2.36198271353048e-05
Bacchus Marsh,5.18707866369902e-05
Balwyn,6.50081597614763e-05
Balwyn North,0.000184770968082993
Bayswater,3.1128052351245e-06
Bayswater North,1.15787699913755e-05
Beaconsfield - Officer,1.22894553569945e-05
Beaumaris,0.000482069296245237
Belgrave - Selby,3.5978142161441e-05
Bentleigh - McKinnon,3.81315105961236e-05
Bentleigh East,0.00010112621545269
Berwick - North,2.82402086030711e-05
Berwick - South,5.30897287223946e-06
Blackburn,0.000114454495574586
Blackburn South,0.000130109299456206
Boronia - The Basin,9.17671791712886e-06
Box Hill,7.69294724275284e-07
Box Hill North,4.36833002954789e-05
Braeside,0.311278124459133
Braybrook,2.07772654498798e-06
Brighton (Vic.),0.0006759415399121
Brighton East,0.000222831756961278
Broadmeadows,1.02130302259918e-06
Brunswick,2.18007352390242e-06
Brunswick East,7.0334047220208e-06
Brunswick West,8.31765282180378e-07
Bulleen,0.000340796749905932
Bundoora - East,9.69396140136042e-05
Bundoora - North,1.79050177192e-06
Bundoora - West,8.61739023309078e-06
Bunyip - Garfield,0.000265652942491684
Burwood,1.75990771219268e-05
Burwood East,0.000189647188294146
Cairnlea,1.00197566917574e-05
Camberwell,0.000163975394266128
Campbellfield - Coolaroo,1.42195949587142e-05
Carlton,1.76528127053486e-07
Carlton North - Princes Hill,3.75020553698447e-06
Carnegie,2.43458053441286e-06
Caroline Springs,1.02324886327851e-05
Carrum - Patterson Lakes,8.45817216723352e-06
Carrum Downs,9.07195479860447e-06
Caulfield - North,0.000214245938359267
Caulfield - South,0.000284264635215523
Chelsea - Bonbeach,5.18365930280091e-06
Chelsea Heights,4.50768724924651e-05
Cheltenham - Highett (East),0.000138233346462855
Cheltenham - Highett (West),3.81967957026293e-05
Chirnside Park,3.52696369590236e-05
Clarinda - Oakleigh South,7.26991709578702e-06
Clayton,2.25221780717221e-06
Clayton South,2.42596705521189e-06
Coburg,7.36834381429561e-06
Coburg North,0.000246553772355204
Collingwood,1.63001474619485e-06
Craigieburn - Mickleham,7.22088096086768e-06
Cranbourne,2.19582231225323e-05
Cranbourne East,3.91157220898588e-06
Cranbourne North,1.25531064815849e-06
Cranbourne South,8.71253268884005e-06
Cranbourne West,8.70735864754303e-06
Croydon,1.46564721638363e-05
Croydon Hills - Warranwood,4.70858160125818e-05
Dandenong,2.82950626487771e-06
Dandenong North,1.10784724505412e-05
Deer Park - Derrimut,6.48306480817602e-06
Delahey,1.8685617591478e-05
Dingley Village,0.000221021751384535
Docklands,1.4058689239652e-05
Doncaster,0.000100162441660742
Doncaster East,0.00014045363558545
Donvale - Park Orchards,0.000266740914065429
Doveton,3.47418509764373e-06
Dromana,0.00100096928021738
East Melbourne,2.22199666203098e-06
Edithvale - Aspendale,5.23531033203269e-05
Elsternwick,0.000232397960472369
Eltham,6.24031633307966e-05
Elwood,1.19230502075899e-05
Emerald - Cockatoo,6.29140546037038e-05
Endeavour Hills,1.56481534187106e-05
Epping,1.35151342565178e-05
Essendon - Aberfeldie,6.87020250182344e-05
