Parent child age gap,Number of parental relationships
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,31575
16,31230
17,33889
18,37897
19,42334
20,46992
21,51561
22,56556
23,61418
24,66284
25,70671
26,74976
27,78217
28,81336
29,85378
30,88014
31,97063
32,98378
33,99867
34,99839
35,100906
36,101195
37,97206
38,93165
39,89162
40,85272
41,73115
42,61942
43,51352
44,40983
45,33083
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
