SA2,APD,APD%,Population size
Abbotsford,Inf,Inf,0
Airport West,Inf,Inf,0
Albert Park,Inf,Inf,0
Alphington - Fairfield,Inf,Inf,0
Altona,Inf,Inf,0
Altona Meadows,Inf,Inf,0
Altona North,Inf,Inf,0
Ardeer - Albion,Inf,Inf,0
Armadale,Inf,Inf,0
Ascot Vale,Inf,Inf,0
Ashburton (Vic.),Inf,Inf,0
Ashwood - Chadstone,Inf,Inf,0
Aspendale Gardens - Waterways,Inf,Inf,0
Bacchus Marsh,Inf,Inf,0
Balwyn,Inf,Inf,0
Balwyn North,Inf,Inf,0
Bayswater,Inf,Inf,0
Bayswater North,Inf,Inf,0
Beaconsfield - Officer,Inf,Inf,0
Beaumaris,Inf,Inf,0
Belgrave - Selby,Inf,Inf,0
Bentleigh - McKinnon,Inf,Inf,0
Bentleigh East (North),Inf,Inf,0
Bentleigh East (South),Inf,Inf,0
Berwick - North,Inf,Inf,0
Berwick - South,Inf,Inf,0
Blackburn,Inf,Inf,0
Blackburn South,Inf,Inf,0
Boronia,Inf,Inf,0
Box Hill,Inf,Inf,0
Box Hill North,Inf,Inf,0
Braeside,Inf,Inf,0
Braybrook,Inf,Inf,0
Brighton (Vic.),Inf,Inf,0
Brighton East,Inf,Inf,0
Broadmeadows,Inf,Inf,0
Brunswick,Inf,Inf,0
Brunswick East,Inf,Inf,0
Brunswick West,Inf,Inf,0
Bulleen,Inf,Inf,0
Bundoora - East,Inf,Inf,0
Bundoora - North,Inf,Inf,0
Bundoora - West,Inf,Inf,0
Bunyip - Garfield,Inf,Inf,0
Burnside,Inf,Inf,0
Burnside Heights,Inf,Inf,0
Burwood,Inf,Inf,0
Burwood East,Inf,Inf,0
Cairnlea,Inf,Inf,0
Camberwell,Inf,Inf,0
Campbellfield - Coolaroo,Inf,Inf,0
Carlton,Inf,Inf,0
Carlton North - Princes Hill,Inf,Inf,0
Carnegie,Inf,Inf,0
Caroline Springs,Inf,Inf,0
Carrum - Patterson Lakes,Inf,Inf,0
Carrum Downs,Inf,Inf,0
Caulfield - North,Inf,Inf,0
Caulfield - South,Inf,Inf,0
Chelsea - Bonbeach,Inf,Inf,0
Chelsea Heights,Inf,Inf,0
Cheltenham - Highett (East),Inf,Inf,0
Cheltenham - Highett (West),Inf,Inf,0
Chirnside Park,Inf,Inf,0
Clarinda - Oakleigh South,Inf,Inf,0
Clayton,Inf,Inf,0
Clayton South,Inf,Inf,0
Coburg,Inf,Inf,0
Coburg North,Inf,Inf,0
Collingwood,Inf,Inf,0
Craigieburn - Central,Inf,Inf,0
Craigieburn - North,Inf,Inf,0
Craigieburn - South,Inf,Inf,0
Craigieburn - West,Inf,Inf,0
Cranbourne,Inf,Inf,0
Cranbourne East,Inf,Inf,0
Cranbourne North,Inf,Inf,0
Cranbourne South,Inf,Inf,0
Cranbourne West,Inf,Inf,0
Croydon - East,Inf,Inf,0
Croydon - West,Inf,Inf,0
Croydon Hills - Warranwood,Inf,Inf,0
Croydon South,Inf,Inf,0
Dandenong,Inf,Inf,0
Dandenong North,Inf,Inf,0
Deer Park - Derrimut,Inf,Inf,0
Delahey,Inf,Inf,0
Dingley Village,Inf,Inf,0
Docklands,Inf,Inf,0
Doncaster,Inf,Inf,0
Doncaster East (North),Inf,Inf,0
Doncaster East (South),Inf,Inf,0
Donvale - Park Orchards,Inf,Inf,0
Doreen,Inf,Inf,0
Doveton,Inf,Inf,0
Dromana,Inf,Inf,0
East Melbourne,Inf,Inf,0
Edithvale - Aspendale,Inf,Inf,0
Elsternwick,Inf,Inf,0
Eltham,Inf,Inf,0
Elwood,Inf,Inf,0
Emerald - Cockatoo,Inf,Inf,0
Endeavour Hills - North,Inf,Inf,0
Endeavour Hills - South,Inf,Inf,0
Epping - East,Inf,Inf,0
Epping - South,Inf,Inf,0
Epping - West,Inf,Inf,0
Essendon - Aberfeldie,Inf,Inf,0
Fawkner,Inf,Inf,0
Ferntree Gully (North),Inf,Inf,0
Ferntree Gully (South) - Upper Ferntree Gully,Inf,Inf,0
Fitzroy,Inf,Inf,0
Fitzroy North,Inf,Inf,0
Flemington,Inf,Inf,0
Flemington Racecourse,Inf,Inf,0
Flinders,Inf,Inf,0
Footscray,Inf,Inf,0
Forest Hill,Inf,Inf,0
Frankston,Inf,Inf,0
Frankston North,Inf,Inf,0
Frankston South,Inf,Inf,0
Gisborne,Inf,Inf,0
Gladstone Park - Westmeadows,Inf,Inf,0
Glen Iris - East,Inf,Inf,0
Glen Waverley - East,Inf,Inf,0
Glen Waverley - West,Inf,Inf,0
Glenroy,Inf,Inf,0
Gowanbrae,Inf,Inf,0
Greensborough,Inf,Inf,0
Greenvale - Bulla,Inf,Inf,0
Hadfield,Inf,Inf,0
Hallam,Inf,Inf,0
Hampton,Inf,Inf,0
Hampton Park - Lynbrook,Inf,Inf,0
Hastings - Somers,Inf,Inf,0
Hawthorn,Inf,Inf,0
Hawthorn East,Inf,Inf,0
Healesville - Yarra Glen,Inf,Inf,0
Heidelberg - Rosanna,Inf,Inf,0
Heidelberg West,Inf,Inf,0
Hillside,Inf,Inf,0
Hoppers Crossing - North,Inf,Inf,0
Hoppers Crossing - South,Inf,Inf,0
Hughesdale,Inf,Inf,0
Hurstbridge,Inf,Inf,0
Ivanhoe,Inf,Inf,0
Ivanhoe East - Eaglemont,Inf,Inf,0
Keilor,Inf,Inf,0
Keilor Downs,Inf,Inf,0
Keilor East,Inf,Inf,0
Kensington (Vic.),Inf,Inf,0
Kew,Inf,Inf,0
Kew East,Inf,Inf,0
Keysborough,Inf,Inf,0
Kilsyth,Inf,Inf,0
Kinglake,Inf,Inf,0
Kings Park (Vic.),Inf,Inf,0
Kingsbury,Inf,Inf,0
Knoxfield - Scoresby,Inf,Inf,0
Koo Wee Rup,Inf,Inf,0
Lalor,Inf,Inf,0
Langwarrin,Inf,Inf,0
Laverton,Inf,Inf,0
Lilydale - Coldstream,Inf,Inf,0
Lynbrook - Lyndhurst,Inf,Inf,0
