"Australian Bureau of Statistics",,,,
,,,,
"2016 Census - Counting Persons, Place of Usual Residence (MB)",,,,
"SA2 (UR), RLHP Relationship in Household, SEXP Sex and AGE5P Age in Five Year Groups",,,,
"Counting: Persons Place of Usual Residence",,,,
,,,,
"Filters:",,,,
"Default Summation","Persons Place of Usual Residence",,,
,,,,
,,,,
"SA2 (UR)","RLHP Relationship in Household","SEXP Sex","AGE5P Age in Five Year Groups",
"Brunswick","Married","Male","0-14 years",0
,,,"15-24 years",127
,,,"25-39 years",2248
,,,"40-54 years",1211
,,,"55-69 years",662
,,,"70-84 years",370
,,,"85-99 years",70
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",192
,,,"25-39 years",2351
,,,"40-54 years",1194
,,,"55-69 years",650
,,,"70-84 years",285
,,,"85-99 years",30
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",9
,,,"40-54 years",44
,,,"55-69 years",40
,,,"70-84 years",21
,,,"85-99 years",5
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",6
,,,"25-39 years",72
,,,"40-54 years",178
,,,"55-69 years",116
,,,"70-84 years",106
,,,"85-99 years",32
,,,"100 years and over",0
,"U15Child","Male","0-14 years",1251
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",1193
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",298
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",277
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",155
,,,"25-39 years",188
,,,"40-54 years",137
,,,"55-69 years",30
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",98
,,,"25-39 years",114
,,,"40-54 years",74
,,,"55-69 years",30
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",681
,,,"25-39 years",1294
,,,"40-54 years",134
,,,"55-69 years",39
,,,"70-84 years",15
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",862
,,,"25-39 years",1330
,,,"40-54 years",94
,,,"55-69 years",50
,,,"70-84 years",12
,,,"85-99 years",0
,,,"100 years and over",0
