
"NPRD and HCFMD by SA1"
"Counting: Families, Place of Usual Residence"

,,"SA1","2120001","2120002","2120003","2120004","2120005","2120006","2120007","2120008","2120009","2120010","2120011","2120012","2120013","2120014","2120015","2120016","2120017","2120018","2120019","2120020","2120021","2120022","2120023","2120024","2120025","2120026",
,"NPRD","HCFMD",
,"One person","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",22,34,47,47,70,12,28,98,48,79,43,51,34,50,37,23,57,57,28,65,27,36,35,51,81,29,
,,"Group household",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Two persons","One family household: Couple family with no children",28,30,36,38,51,24,27,57,27,51,39,44,21,32,35,16,44,53,45,57,19,20,13,38,50,19,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",4,3,13,4,15,3,5,12,6,6,15,10,7,10,12,7,4,10,3,4,7,8,7,13,11,6,
,,"One family household: Other family",0,4,0,0,0,0,0,7,0,0,0,7,5,8,0,0,0,3,0,3,3,5,0,3,10,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",4,3,4,7,12,0,0,13,6,10,9,10,6,3,6,0,6,4,3,8,0,5,0,11,6,0,
,"Three persons","One family household: Couple family with no children",4,5,8,0,3,0,3,0,0,0,6,9,3,3,4,0,3,0,0,8,0,0,0,0,3,3,
,,"One family household: Couple family with children",6,20,23,17,16,8,11,26,9,13,24,14,18,29,20,23,14,34,19,23,14,23,6,18,17,7,
,,"One family household: One parent family",0,5,0,4,3,0,0,8,7,8,3,11,3,12,4,0,5,8,3,8,0,9,7,3,11,5,
,,"One family household: Other family",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,3,3,6,0,6,3,4,0,4,0,0,3,0,0,0,0,10,0,
,"Four persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",20,27,31,26,48,25,33,33,19,16,30,29,24,26,29,25,24,44,40,34,36,26,22,23,23,28,
,,"One family household: One parent family",0,4,0,0,6,0,0,0,0,0,4,7,3,6,5,0,0,0,8,5,0,4,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,
,"Five persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",0,8,7,14,8,9,3,13,6,0,12,10,5,12,9,11,11,18,13,7,13,17,6,14,10,11,
,,"One family household: One parent family",0,0,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Six persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",4,3,6,4,3,3,0,3,4,0,0,3,0,0,5,0,3,0,3,3,0,3,0,0,3,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,3,4,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
