
"AGEP by SA3"
"Counting: Persons, Place of Usual Residence"
"Percentage: column"

,"SA3","Darebin - South","Banyule","Darebin - North","Total",
,"AGEP",
,"0 years",1.3921496,1.3245089,1.3853976,1.3584109,
,"1 year",1.4889411,1.3633905,1.3615114,1.3866702,
,"2 years",1.2335763,1.2619603,1.1795216,1.2281039,
,"3 years",1.2500515,1.24421,1.2705165,1.2544008,
,"4 years",1.2974175,1.3092944,1.2011329,1.2697079,
,"5 years",1.3221302,1.223924,1.1112754,1.2037695,
,"6 years",1.0770625,1.1343273,1.0851144,1.1064317,
,"7 years",1.1244285,1.1013625,1.0873892,1.1009369,
,"8 years",1.0296964,1.1005173,0.9656835,1.0404933,
,"9 years",0.990568,1.0937553,0.9679584,1.030681,
,"10 years",0.8608262,1.076005,0.9417974,0.9886845,
,"11 years",0.9534989,1.1613754,0.9474846,1.0479506,
,"12 years",0.8134602,1.1368631,0.9076743,0.9961418,
,"13 years",0.8134602,1.1072793,0.8758261,0.9714149,
,"14 years",0.7866881,1.1723637,0.9315604,1.0157664,
,"15 years",0.7125499,1.1343273,0.8610394,0.9596402,
,"16 years",0.7908069,1.1977212,0.9292856,1.0275411,
,"17 years",0.7578566,1.2104,0.9713707,1.0416708,
,"18 years",0.7908069,1.1960307,1.0566785,1.0707151,
,"19 years",0.864945,1.2382933,1.3853976,1.2178992,
,"20 years",1.0276371,1.3743787,1.4809423,1.3450662,
,"21 years",1.1841509,1.4529871,1.7459649,1.5028475,
,"22 years",1.2891799,1.3388782,1.7857752,1.4836155,
,"23 years",1.4477532,1.3481759,1.7584767,1.5087349,
,"24 years",1.4786441,1.3481759,1.9006563,1.5636836,
,"25 years",1.750484,1.3185921,1.8335476,1.5785983,
,"26 years",1.9934923,1.2856273,1.8562963,1.6174549,
,"27 years",2.0635117,1.2822463,1.8597086,1.6304071,
,"28 years",2.1005807,1.3211279,1.8051116,1.6366869,
,"29 years",2.1458874,1.3295804,1.7709885,1.6374719,
