
"SA2, NPRD and HCFMD"
"Counting: Dwellings, Location on Census Night"

,,,"Counting","Dwellings, Location on Census Night",
,"SA2","NPRD","HCFMD",
,"Alphington - Fairfield","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1015,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",712,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",117,
,,,"One family household: Other family",50,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",134,
,,"Three persons","One family household: Couple family with no children",34,
,,,"One family household: Couple family with children",304,
,,,"One family household: One parent family",76,
,,,"One family household: Other family",5,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",65,
,,"Four persons","One family household: Couple family with no children",7,
,,,"One family household: Couple family with children",468,
,,,"One family household: One parent family",19,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",11,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",23,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",177,
,,,"One family household: One parent family",6,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",8,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",5,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",31,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",4,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
