Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"SA2, NPRD Number of Persons Usually Resident in Dwelling and HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"


"SA2","NPRD Number of Persons Usually Resident in Dwelling","HCFMD Family Household Composition (Dwelling)",
"Alphington - Fairfield","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1015,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",713,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",116,
,,"One family household: Other family",49,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",132,
,"Three persons","One family household: Couple family with no children",35,
,,"One family household: Couple family with children",302,
,,"One family household: One parent family",76,
,,"One family household: Other family",3,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",63,
,"Four persons","One family household: Couple family with no children",7,
,,"One family household: Couple family with children",469,
,,"One family household: One parent family",17,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",11,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",22,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",178,
,,"One family household: One parent family",7,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",11,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",4,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",31,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",3,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",6,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Northcote","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",2520,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1967,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",430,
,,"One family household: Other family",121,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",514,
,"Three persons","One family household: Couple family with no children",102,
,,"One family household: Couple family with children",913,
,,"One family household: One parent family",210,
,,"One family household: Other family",36,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",288,
,"Four persons","One family household: Couple family with no children",37,
,,"One family household: Couple family with children",1154,
,,"One family household: One parent family",60,
,,"One family household: Other family",6,
,,"Two family household: Couple family with no children",14,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",7,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",102,
,"Five persons","One family household: Couple family with no children",7,
,,"One family household: Couple family with children",377,
,,"One family household: One parent family",16,
,,"One family household: Other family",5,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",8,
,,"Two family household: One parent family",12,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",24,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",71,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",13,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",4,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",15,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",5,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Thornbury","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",2249,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1560,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",332,
,,"One family household: Other family",96,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
