"","Cosine similarity"
"Alphington - Fairfield",0.999737195698674
"Northcote",0.999693805104113
"Thornbury",0.999594810610248
"Bundoora - East",0.999611926899887
"Greensborough",0.99972205693701
"Heidelberg - Rosanna",0.999568211800673
"Heidelberg West",0.999367192128837
"Ivanhoe",0.999684239188063
"Ivanhoe East - Eaglemont",0.999553239764023
"Montmorency - Briar Hill",0.999550960025324
"Viewbank - Yallambie",0.999651765174279
"Watsonia",0.999636146168969
"Kingsbury",0.999498597240128
"Preston",0.999469627384028
"Reservoir - East",0.999559865213484
"Reservoir - West",0.999508285563043
