"","Cosine similarity"
"Alphington - Fairfield",0.999764103240047
"Northcote",0.999402707503779
"Thornbury",0.999572837204576
"Bundoora - East",0.999542069416335
"Greensborough",0.99974818405499
"Heidelberg - Rosanna",0.999653597509628
"Heidelberg West",0.999327263353574
"Ivanhoe",0.999733014523728
"Ivanhoe East - Eaglemont",0.99971812045985
"Montmorency - Briar Hill",0.999599270922336
"Viewbank - Yallambie",0.999711688539864
"Watsonia",0.999665706428116
"Kingsbury",0.99945462662193
"Preston",0.999387425136571
"Reservoir - East",0.999555002193702
"Reservoir - West",0.999505321217696
