SA2;SAE;Population size
Abbotsford;0.0612392976345959;6891
Airport West;0.0288866308607926;6889
Albert Park;0.047179797368819;13226
Alphington - Fairfield;0.047196903483581;8009
Altona;0.0432446485830661;11539
Altona Meadows;0.0403685574431327;17365
Altona North;0.0276460660612393;12443
Ardeer - Albion;0.046734483266991;6783
Armadale;0.0424180848361697;7874
Ascot Vale;0.044309559939302;13180
Ashburton (Vic.);0.0350976507217662;7066
Ashwood - Chadstone;0.0456944185757745;16107
Aspendale Gardens - Waterways;0.0350148367952522;8425
Bacchus Marsh;0.033763277693475;18452
Balwyn;0.0472117925184258;14382
Balwyn North;0.0481515167727783;18691
Bayswater;0.0410176053092451;10849
Bayswater North;0.0310517845309098;10563
Beaconsfield - Officer;0.0287318361955086;12112
Beaumaris;0.0396023599773701;12373
Belgrave - Selby;0.0373348017621145;9080
Bentleigh - McKinnon;0.047917380451275;20431
Bentleigh East (North);0.0396243029057822;13628
Bentleigh East (South);0.0279960707269155;12216
Berwick - North;0.0325977693743717;20891
Berwick - South;0.0377808873158285;24298
Blackburn;0.0415427223304954;19498
Blackburn South;0.0429985564033821;9698
Boronia;0.0373190781179081;19829
Box Hill;0.0745312950677819;17335
Box Hill North;0.0489610551200697;16074
Braeside;1;12
Braybrook;0.054268406919378;16013
Brighton (Vic.);0.0417961311015335;19954
Brighton East;0.0423030900260435;14207
Broadmeadows;0.0346997640066428;11441
Brunswick;0.0614633705427758;22127
Brunswick East;0.06253214028592;9723
Brunswick West;0.0410024650780608;12170
Bulleen;0.0321127863716468;10214
Bundoora - East;0.0396327810120914;8932
Bundoora - North;0.0507029614119055;6686
Bundoora - West;0.0596585804132974;5565
Bunyip - Garfield;0.0369070825211176;7695
Burnside;0.0290352080475537;4374
Burnside Heights;0.0336538461538462;5616
Burwood;0.086225229579507;10345
Burwood East;0.0511612972278711;9343
Cairnlea;0.0349340135299989;9017
Camberwell;0.0416229817571818;19076
Campbellfield - Coolaroo;0.0203396794959595;14602
Carlton;0.0443966097134401;14866
Carlton North - Princes Hill;0.0647685872351909;7411
Carnegie;0.0435751423619708;16156
Caroline Springs;0.0278458939567326;18351
Carrum - Patterson Lakes;0.0327192477451545;10422
Carrum Downs;0.0346542682597178;18497
Caulfield - North;0.0415112696610994;18501
Caulfield - South;0.0458580826467395;15657
Chelsea - Bonbeach;0.0354967948717949;12480
Chelsea Heights;0.0510715001001402;4993
Cheltenham - Highett (East);0.0333860134334255;20248
Cheltenham - Highett (West);0.0307304785894207;9925
Chirnside Park;0.0408389745866164;9011
Clarinda - Oakleigh South;0.0418516769012754;10585
Clayton;0.0825138201920279;17185
Clayton South;0.0562231383211999;11401
Coburg;0.0527209440529756;23558
Coburg North;0.0433487263518546;6713
Collingwood;0.0579444522768927;7093
Craigieburn - Central;0.031148181936661;7673
Craigieburn - North;0.0278784499581823;10761
Craigieburn - South;0.0215894039735099;15100
