V1;V2;V3;V4;V5
0;7267;0;7267;0
0;7066;0;7066;0
0;13850;0;13850;0
0;8387;0;8387;0
0;12038;0;12038;0
0;18066;0;18066;0
0;12787;0;12787;0
0;7080;0;7080;0
0;8190;0;8190;0
0;13764;0;13764;0
0;7308;0;7308;0
0;16843;0;16843;0
0;8694;0;8694;0
0;19073;0;19073;0
0;15061;0;15061;0
0;19587;0;19587;0
0;11294;0;11294;0
0;10885;0;10885;0
0;12448;0;12448;0
0;12863;0;12863;0
0;9389;0;9389;0
0;21410;0;21410;0
0;14168;0;14168;0
0;12558;0;12558;0
0;21572;0;21572;0
0;25200;0;25200;0
0;20308;0;20308;0
0;10101;0;10101;0
0;20569;0;20569;0
0;18627;0;18627;0
0;16861;0;16861;0
0;12;0;12;0
0;16876;0;16876;0
0;20788;0;20788;0
0;14808;0;14808;0
0;11828;0;11828;0
0;23469;0;23469;0
0;10325;0;10325;0
0;12669;0;12669;0
0;10520;0;10520;0
0;9262;0;9262;0
0;7005;0;7005;0
0;5881;0;5881;0
0;7979;0;7979;0
0;4453;0;4453;0
0;5793;0;5793;0
0;11237;0;11237;0
0;9801;0;9801;0
0;9326;0;9326;0
0;19870;0;19870;0
0;14897;0;14897;0
0;15512;0;15512;0
0;7887;0;7887;0
0;16858;0;16858;0
0;18862;0;18862;0
0;10757;0;10757;0
0;19108;0;19108;0
0;19261;0;19261;0
0;16375;0;16375;0
0;12923;0;12923;0
0;5238;0;5238;0
0;20924;0;20924;0
0;10230;0;10230;0
0;9377;0;9377;0
0;10986;0;10986;0
0;18603;0;18603;0
0;12024;0;12024;0
0;24780;0;24780;0
0;6998;0;6998;0
0;7466;0;7466;0
0;7886;0;7886;0
0;11029;0;11029;0
0;15424;0;15424;0
0;13413;0;13413;0
0;18615;0;18615;0
0;24408;0;24408;0
0;19066;0;19066;0
0;8156;0;8156;0
0;14196;0;14196;0
0;13991;0;13991;0
0;12500;0;12500;0
0;17146;0;17146;0
0;4512;0;4512;0
0;27555;0;27555;0
0;21231;0;21231;0
0;24543;0;24543;0
0;7839;0;7839;0
0;9821;0;9821;0
0;9483;0;9483;0
0;19927;0;19927;0
0;14097;0;14097;0
0;13214;0;13214;0
0;15133;0;15133;0
0;20253;0;20253;0
0;10315;0;10315;0
0;9857;0;9857;0
0;4076;0;4076;0
0;11792;0;11792;0
0;10585;0;10585;0
0;21999;0;21999;0
0;13744;0;13744;0
0;16646;0;16646;0
0;11293;0;11293;0
0;12833;0;12833;0
0;12333;0;12333;0
0;7750;0;7750;0
0;10371;0;10371;0
0;25562;0;25562;0
0;12718;0;12718;0
0;12959;0;12959;0
0;13977;0;13977;0
0;8783;0;8783;0
0;11249;0;11249;0
0;8886;0;8886;0
0;52;0;52;0
0;4714;0;4714;0
0;14402;0;14402;0
0;10089;0;10089;0
0;20371;0;20371;0
0;17524;0;17524;0
0;17035;0;17035;0
0;11992;0;11992;0
0;16488;0;16488;0
0;15821;0;15821;0
0;20434;0;20434;0
0;18273;0;18273;0
0;20359;0;20359;0
0;2697;0;2697;0
0;19434;0;19434;0
0;15591;0;15591;0
0;5308;0;5308;0
0;10012;0;10012;0
0;16664;0;16664;0
0;24037;0;24037;0
0;19508;0;19508;0
0;20695;0;20695;0
0;14093;0;14093;0
0;12422;0;12422;0
0;13691;0;13691;0
0;12586;0;12586;0
0;19409;0;19409;0
0;18126;0;18126;0
0;18392;0;18392;0
0;7122;0;7122;0
0;3211;0;3211;0
0;10866;0;10866;0
0;7366;0;7366;0
0;8072;0;8072;0
0;12550;0;12550;0
0;24649;0;24649;0
0;9921;0;9921;0
0;22563;0;22563;0
0;6067;0;6067;0
0;25052;0;25052;0
0;8259;0;8259;0
0;3474;0;3474;0
0;12864;0;12864;0
0;9491;0;9491;0
0;14466;0;14466;0
0;6862;0;6862;0
0;21560;0;21560;0
0;22638;0;22638;0
0;8180;0;8180;0
0;17625;0;17625;0
0;14209;0;14209;0
0;6339;0;6339;0
0;3126;0;3126;0
0;18589;0;18589;0
0;20248;0;20248;0
0;11315;0;11315;0
0;14038;0;14038;0
0;32046;0;32046;0
0;32;0;32;0
0;17442;0;17442;0
0;21698;0;21698;0
0;16484;0;16484;0
0;12173;0;12173;0
0;15574;0;15574;0
0;3116;0;3116;0
0;17035;0;17035;0
0;11321;0;11321;0
0;15396;0;15396;0
0;5368;0;5368;0
0;15151;0;15151;0
0;6123;0;6123;0
0;13309;0;13309;0
0;8136;0;8136;0
0;21015;0;21015;0
0;18690;0;18690;0
0;21789;0;21789;0
0;9007;0;9007;0
0;16680;0;16680;0
0;9201;0;9201;0
0;17256;0;17256;0
0;14739;0;14739;0
0;17400;0;17400;0
0;18106;0;18106;0
0;8796;0;8796;0
0;12946;0;12946;0
0;13122;0;13122;0
0;7173;0;7173;0
0;12662;0;12662;0
0;16012;0;16012;0
0;16647;0;16647;0
0;6667;0;6667;0
0;11397;0;11397;0
0;17487;0;17487;0
0;7035;0;7035;0
0;17308;0;17308;0
0;22767;0;22767;0
0;11041;0;11041;0
0;19960;0;19960;0
0;12637;0;12637;0
0;17359;0;17359;0
0;26934;0;26934;0
0;4696;0;4696;0
0;4411;0;4411;0
0;21751;0;21751;0
0;9272;0;9272;0
0;7127;0;7127;0
0;8921;0;8921;0
0;11771;0;11771;0
0;22139;0;22139;0
0;13808;0;13808;0
0;15010;0;15010;0
0;14651;0;14651;0
0;5;0;5;0
0;17210;0;17210;0
0;18124;0;18124;0
0;11524;0;11524;0
0;6280;0;6280;0
0;24555;0;24555;0
