SA2;FT statistic;FT p-value;FT degrees of freedom
Abbotsford;3.15544362088405e-30;1;nan
Airport West;0;1;nan
Albert Park;2.05892696262684e-28;1;nan
Alphington - Fairfield;3.15544362088405e-30;1;nan
Altona;0;1;nan
Altona Meadows;6.3897733322902e-29;1;nan
Altona North;2.52435489670724e-28;1;nan
Ardeer - Albion;7.09974814698911e-30;1;nan
Armadale;0;1;nan
Ascot Vale;0;1;nan
Ashburton (Vic.);9.86076131526265e-31;1;nan
Ashwood - Chadstone;1.34106353887572e-29;1;nan
Aspendale Gardens - Waterways;5.04870979341448e-29;1;nan
Bacchus Marsh;7.88860905221012e-31;1;nan
Balwyn;0;1;nan
Balwyn North;3.94430452610506e-30;1;nan
Bayswater;3.15544362088405e-30;1;nan
Bayswater North;0;1;nan
Beaconsfield - Officer;0;1;nan
Beaumaris;4.73316543132607e-30;1;nan
Belgrave - Selby;7.71111534853539e-29;1;nan
Bentleigh - McKinnon;0;1;nan
Bentleigh East (North);5.04870979341448e-29;1;nan
Bentleigh East (South);0;1;nan
Berwick - North;0;1;nan
Berwick - South;2.01948391736579e-28;1;nan
Blackburn;0;1;nan
Blackburn South;1.91298769516095e-29;1;nan
Boronia;0;1;nan
Box Hill;5.71924156285234e-30;1;nan
Box Hill North;1.97215226305253e-30;1;nan
Braeside;0;1;nan
Braybrook;8.87468518373638e-30;1;nan
Brighton (Vic.);3.15544362088405e-30;1;nan
Brighton East;0;1;nan
Broadmeadows;0;1;nan
Brunswick;0;1;nan
Brunswick East;1.4791141972894e-29;1;nan
Brunswick West;5.38397567813341e-29;1;nan
Bulleen;1.97215226305253e-31;1;nan
Bundoora - East;3.94430452610506e-30;1;nan
Bundoora - North;6.11367201546284e-30;1;nan
Bundoora - West;3.15544362088405e-30;1;nan
Bunyip - Garfield;1.26217744835362e-29;1;nan
Burnside;4.73316543132607e-30;1;nan
Burnside Heights;1.41994962939782e-29;1;nan
Burwood;1.57772181044202e-29;1;nan
Burwood East;0;1;nan
Cairnlea;0;1;nan
Camberwell;0;1;nan
Campbellfield - Coolaroo;1.04129639489174e-28;1;nan
Carlton;0;1;nan
Carlton North - Princes Hill;1.18329135783152e-30;1;nan
Carnegie;1.26217744835362e-29;1;nan
Caroline Springs;5.20648197445868e-29;1;nan
Carrum - Patterson Lakes;2.95822839457879e-30;1;nan
Carrum Downs;1.26217744835362e-29;1;nan
Caulfield - North;2.01948391736579e-28;1;nan
Caulfield - South;7.88860905221012e-31;1;nan
Chelsea - Bonbeach;1.77493703674728e-29;1;nan
Chelsea Heights;0;1;nan
Cheltenham - Highett (East);0;1;nan
Cheltenham - Highett (West);3.94430452610506e-31;1;nan
Chirnside Park;0;1;nan
Clarinda - Oakleigh South;0;1;nan
Clayton;2.83989925879564e-29;1;nan
Clayton South;0;1;nan
Coburg;2.05892696262684e-28;1;nan
Coburg North;0;1;nan
Collingwood;0;1;nan
Craigieburn - Central;3.15544362088405e-30;1;nan
Craigieburn - North;5.04870979341448e-29;1;nan
Craigieburn - South;5.66007699496076e-29;1;nan
Craigieburn - West;0;1;nan
Cranbourne;7.88860905221012e-31;1;nan
Cranbourne East;0;1;nan
Cranbourne North;5.04870979341448e-29;1;nan
Cranbourne South;7.88860905221012e-31;1;nan
Cranbourne West;5.99534287967969e-29;1;nan
Croydon - East;2.07667633299431e-28;1;nan
Croydon - West;0;1;nan
Croydon Hills - Warranwood;0;1;nan
Croydon South;0;1;nan
Dandenong;0;1;nan
Dandenong North;7.88860905221012e-31;1;nan
Deer Park - Derrimut;0;1;nan
Delahey;6.6264316038565e-29;1;nan
Dingley Village;6.6264316038565e-29;1;nan
Docklands;0;1;nan
Doncaster;5.04870979341448e-29;1;nan
Doncaster East (North);5.28536806498078e-29;1;nan
Doncaster East (South);5.04870979341448e-29;1;nan
Donvale - Park Orchards;3.15544362088405e-30;1;nan
Doreen;5.04870979341448e-29;1;nan
Doveton;0;1;nan
Dromana;6.31088724176809e-30;1;nan
East Melbourne;0;1;nan
Edithvale - Aspendale;1.26217744835362e-29;1;nan
Elsternwick;5.52202633654708e-30;1;nan
Eltham;0;1;nan
Elwood;4.33873497871556e-30;1;nan
Emerald - Cockatoo;2.83989925879564e-29;1;nan
Endeavour Hills - North;0;1;nan
Endeavour Hills - South;0;1;nan
Epping - East;0;1;nan
Epping - South;0;1;nan
Epping - West;5.04870979341448e-29;1;nan
Essendon - Aberfeldie;1.5580002878115e-29;1;nan
Fawkner;2.14964596672726e-29;1;nan
Ferntree Gully (North);5.40369720076393e-29;1;nan
Ferntree Gully (South) - Upper Ferntree Gully;0;1;nan
Fitzroy;0;1;nan
Fitzroy North;1.0097419586829e-28;1;nan
Flemington;0;1;nan
Flemington Racecourse;0;1;nan
Flinders;0;1;nan
Footscray;1.83410160463885e-29;1;nan
Forest Hill;1.26217744835362e-29;1;nan
Frankston;1.75521551411675e-29;1;nan
Frankston North;0;1;nan
Frankston South;2.76101316827354e-30;1;nan
Gisborne;0;1;nan
Gladstone Park - Westmeadows;3.94430452610506e-30;1;nan
Glen Iris - East;9.86076131526265e-31;1;nan
Glen Waverley - East;6.6264316038565e-29;1;nan
Glen Waverley - West;0;1;nan
Glenroy;1.57772181044202e-30;1;nan
Gowanbrae;3.15544362088405e-30;1;nan
Greensborough;5.36425415550288e-29;1;nan
Greenvale - Bulla;0;1;nan
Hadfield;0;1;nan
Hallam;8.67746995743113e-30;1;nan
Hampton;3.15544362088405e-30;1;nan
Hampton Park - Lynbrook;0;1;nan
Hastings - Somers;1.18329135783152e-30;1;nan
Hawthorn;4.93038065763132e-30;1;nan
Hawthorn East;0;1;nan
Healesville - Yarra Glen;3.17516514351457e-29;1;nan
Heidelberg - Rosanna;0;1;nan
Heidelberg West;0;1;nan
Hillside;1.26217744835362e-29;1;nan
Hoppers Crossing - North;0;1;nan
Hoppers Crossing - South;5.52202633654708e-30;1;nan
Hughesdale;0;1;nan
Hurstbridge;1.26217744835362e-29;1;nan
Ivanhoe;5.04870979341448e-29;1;nan
Ivanhoe East - Eaglemont;6.31088724176809e-29;1;nan
